scenario_id,hour,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,is_battery_charging,is_battery_discharging,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,is_fuel_cell_on,is_electrolyzer_on,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw,hydrogen_balance_residual_kg,fuel_cell_conversion_residual_kw,case_label,study_id,study_title,base_scenario_id,x_label,x_value
B4,0,5200.0,6200.0,15.0,5066.666666666666,0.0,0.0,4200.0,0.0,2066.6666666666665,6200.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538453,0.0,323.46153846153845,0.0,0.0,0.0,1.0,1.0,3282.693333333333,-4.547473508864641e-13,0.0,1.4210854715202004e-14,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,1,5000.0,6100.0,15.0,4533.333333333333,0.0,0.0,4500.0,0.0,2033.3333333333333,6100.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,346.9230769230769,0.0,0.0,0.0,1.0,1.0,2937.1466666666665,-1.1368683772161603e-12,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,2,4800.0,6000.0,15.0,4526.315789473684,0.0,0.0,4800.0,0.0,2000.0,6000.0,1.0,0.0,0.0,526.3157894736843,0.0,10500.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,370.38461538461536,0.0,0.0,0.0,1.0,1.0,2932.6,-9.094947017729282e-13,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,3,4700.0,5900.0,15.0,13666.666666666666,0.0,0.0,5000.0,0.0,1966.6666666666667,5900.0,1.0,0.0,0.0,10000.0,0.0,20000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,393.8461538461538,0.0,0.0,0.0,1.0,1.0,8854.633333333333,-1.8189894035458565e-12,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,4,4800.0,5800.0,20.0,0.0,0.0,0.0,5200.0,0.0,1933.3333333333333,5800.0,1.0,0.0,0.0,0.0,1533.333333333333,18385.964912280702,0.0,1.0,0.0,0.0,0.0,20.0,373.8461538461538,0.0,0.0,0.0,1.0,1.0,0.0,-2.2737367544323206e-13,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,5,5200.0,6000.0,25.0,0.0,160.0,0.0,5000.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,2040.0,16238.59649122807,0.0,1.0,0.0,0.0,0.0,25.0,348.8461538461538,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,6,6200.0,6500.0,40.0,0.0,960.0,0.0,4600.0,0.0,2166.6666666666665,6500.0,1.0,0.0,0.0,0.0,2806.666666666666,13284.21052631579,0.0,1.0,0.0,0.0,0.0,40.0,308.8461538461538,0.0,0.0,0.0,1.0,1.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,7,7000.0,7000.0,50.0,0.0,2400.0,0.0,4000.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,3860.0000000000014,9221.052631578947,0.0,1.0,926.6666666666692,17.82051282051287,0.0,32.179487179487126,276.6666666666667,0.0,0.0,0.0,1.0,1.0,0.0,-9.094947017729282e-13,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,8,7600.0,6800.0,55.0,0.0,4400.0,0.0,3600.0,0.0,2266.6666666666665,6800.0,1.0,0.0,0.0,0.0,3866.666666666666,5150.877192982456,0.0,1.0,2000.0,38.46153846153847,0.0,16.538461538461533,260.12820512820514,0.0,0.0,0.0,1.0,1.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,9,8100.0,6000.0,55.0,0.0,6000.0,0.0,3200.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,2900.0,2098.2456140350882,-4.440892098500626e-16,1.0000000000000004,2000.0,38.46153846153847,0.0,16.538461538461533,243.5897435897436,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,10,8300.0,5200.0,45.0,0.0,7040.0,0.0,3000.0,0.0,1733.3333333333333,5200.0,1.0,0.0,0.0,0.0,1993.333333333334,0.0,-2.220446049250313e-16,1.0000000000000002,2000.0,38.46153846153847,0.0,6.538461538461533,237.05128205128204,0.0,0.0,0.0,1.0,1.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,11,8200.0,4800.0,35.0,1400.0,7600.0,0.0,2800.0000000000005,0.0,1600.0,4800.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,2000.0,38.46153846153847,3.461538461538467,0.0,240.5128205128205,0.0,0.0,0.0,1.0,1.0,907.0600000000001,0.0,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,12,8000.0,4600.0,30.0,11333.333333333334,7200.0,0.0,3000.0,0.0,1533.3333333333333,4600.0,1.0,0.0,0.0,10000.0,0.0,9500.0,1.0,0.0,2000.0,38.46153846153847,8.461538461538467,0.0,248.97435897435895,0.0,0.0,0.0,1.0,1.0,7342.866666666668,1.8189894035458565e-12,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
B4,13,7900.0,4600.0,30.0,1793.333333333334,6240.0,0.0,3400.0000000000005,0.0,1533.3333333333333,4600.0,1.0,0.0,0.0,0.0,0.0,9500.0,1.0,0.0,2000.0,38.46153846153847,8.461538461538467,0.0,257.4358974358974,0.0,0.0,0.0,1.0,1.0,1161.9006666666671,6.821210263296962e-13,0.0,0.0,0.0,2.0 倍,battery_capacity_sensitivity,电池容量敏感性,S5,电池容量倍率,2.0
