scenario_id,hour,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,is_battery_charging,is_battery_discharging,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,is_fuel_cell_on,is_electrolyzer_on,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw,hydrogen_balance_residual_kg,fuel_cell_conversion_residual_kw,case_label,study_id,study_title,base_scenario_id,x_label,x_value
R3,0,5200.0,6200.0,15.0,4226.666666666666,0.0,0.0,5040.0,0.0,2066.6666666666665,6200.0,1.0,0.0,0.0,0.0,0.0,5000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538453,0.0,323.46153846153845,0.0,0.0,0.0,1.0,1.0,2738.4573333333333,-4.547473508864641e-13,0.0,1.4210854715202004e-14,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,1,5000.0,6100.0,15.0,3633.333333333333,0.0,0.0,5400.0,0.0,2033.3333333333333,6100.0,1.0,0.0,0.0,0.0,0.0,5000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,346.9230769230769,0.0,0.0,0.0,1.0,1.0,2354.0366666666664,-1.1368683772161603e-12,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,2,4800.0,6000.0,15.0,3303.157894736842,0.0,0.0,5760.0,0.0,2000.0,6000.0,1.0,0.0,0.0,263.15789473684214,0.0,5250.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,370.38461538461536,0.0,0.0,0.0,1.0,1.0,2140.116,-4.547473508864641e-13,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,3,4700.0,5900.0,15.0,7666.666666666666,0.0,0.0,6000.0,0.0,1966.6666666666667,5900.0,1.0,0.0,0.0,5000.0,0.0,10000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,393.8461538461538,0.0,0.0,0.0,1.0,1.0,4967.233333333334,-9.094947017729282e-13,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,4,4800.0,5800.0,20.0,0.0,0.0,0.0,6240.0,0.0,1933.3333333333333,5800.0,1.0,0.0,0.0,0.0,493.33333333333303,9480.701754385966,0.0,1.0,0.0,0.0,0.0,20.0,373.8461538461538,0.0,0.0,0.0,1.0,1.0,0.0,-2.2737367544323206e-13,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,5,5200.0,6000.0,25.0,0.0,192.0,0.0,6000.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,1008.0,8419.649122807019,0.0,1.0,0.0,0.0,0.0,25.0,348.8461538461538,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,6,6200.0,6500.0,40.0,0.0,1152.0,0.0,5520.0,0.0,2166.6666666666665,6500.0,1.0,0.0,0.0,0.0,2078.666666666671,6231.578947368418,0.0,1.0,384.000000000005,7.384615384615481,0.0,32.61538461538452,316.2307692307693,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,7,7000.0,7000.0,50.0,0.0,2880.0,0.0,4800.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,3653.333333333332,2385.964912280701,0.0,1.0,2000.0,38.46153846153847,0.0,11.538461538461533,304.69230769230774,0.0,0.0,0.0,1.0,1.0,0.0,-1.3642420526593924e-12,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,8,7600.0,6800.0,55.0,0.0,5280.0,0.0,4320.0,0.0,2266.6666666666665,6800.0,1.0,0.0,0.0,0.0,2266.666666666666,-0.0,0.0,1.0,2000.0,38.46153846153847,0.0,16.538461538461533,288.1538461538462,0.0,0.0,0.0,1.0,1.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R3,9,8100.0,6000.0,55.0,0.0,7200.0,0.0,3840.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,940.0,18.076923076923077,0.0,36.92307692307692,251.23076923076928,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
