hour,pv_cf,wind_cf,pv_available_kw,wind_available_kw,electric_load_kw,heat_load_kw,hydrogen_load_kg,tou_period,electricity_price_cny_per_kwh,gas_price_cny_per_m3,grid_emission_kgco2_per_kwh,carbon_price_cny_per_tco2
0,0.0,0.42,0.0,4200.0,5200.0,5580.0,15.0,谷,0.264,3.0,0.6479,62.4
1,0.0,0.45,0.0,4500.0,5000.0,5490.0,15.0,谷,0.264,3.0,0.6479,62.4
2,0.0,0.48,0.0,4800.0,4800.0,5400.0,15.0,谷,0.264,3.0,0.6479,62.4
3,0.0,0.5,0.0,5000.0,4700.0,5310.0,15.0,谷,0.264,3.0,0.6479,62.4
4,0.0,0.52,0.0,5200.0,4800.0,5220.0,20.0,平,0.55,3.0,0.6479,62.4
5,0.02,0.5,160.0,5000.0,5200.0,5400.0,25.0,平,0.55,3.0,0.6479,62.4
6,0.12,0.46,960.0,4600.0,6200.0,5850.0,40.0,峰,0.924,3.0,0.6479,62.4
7,0.3,0.4,2400.0,4000.0,7000.0,6300.0,50.0,峰,0.924,3.0,0.6479,62.4
8,0.55,0.36,4400.0,3600.0,7600.0,6120.0,55.0,平,0.55,3.0,0.6479,62.4
9,0.75,0.32,6000.0,3200.0,8100.0,5400.0,55.0,平,0.55,3.0,0.6479,62.4
10,0.88,0.3,7040.0,3000.0,8300.0,4680.0,45.0,平,0.55,3.0,0.6479,62.4
11,0.95,0.28,7600.0,2800.0000000000005,8200.0,4320.0,35.0,谷,0.264,3.0,0.6479,62.4
12,0.9,0.3,7200.0,3000.0,8000.0,4140.0,30.0,谷,0.264,3.0,0.6479,62.4
13,0.78,0.34,6240.0,3400.0000000000005,7900.0,4140.0,30.0,谷,0.264,3.0,0.6479,62.4
14,0.58,0.38,4640.0,3800.0,8000.0,4320.0,35.0,谷,0.264,3.0,0.6479,62.4
15,0.35,0.42,2800.0,4200.0,8300.0,4680.0,40.0,谷,0.264,3.0,0.6479,62.4
16,0.12,0.44,960.0,4400.0,8600.0,5130.0,50.0,平,0.55,3.0,0.6479,62.4
17,0.02,0.47,160.0,4700.0,9000.0,5760.0,60.0,平,0.55,3.0,0.6479,62.4
18,0.0,0.5,0.0,5000.0,8800.0,6300.0,50.0,峰,0.924,3.0,0.6479,62.4
19,0.0,0.52,0.0,5200.0,8200.0,6480.0,35.0,峰,0.924,3.0,0.6479,62.4
20,0.0,0.55,0.0,5500.0,7400.0,6300.0,25.0,峰,0.924,3.0,0.6479,62.4
21,0.0,0.54,0.0,5400.0,6500.0,6120.0,20.0,峰,0.924,3.0,0.6479,62.4
22,0.0,0.5,0.0,5000.0,5800.0,5850.0,15.0,平,0.55,3.0,0.6479,62.4
23,0.0,0.46,0.0,4600.0,5400.0,5670.0,15.0,平,0.55,3.0,0.6479,62.4
