case_id,capex_group,capex_multiplier,capacity_variable,capacity_name,unit,capacity_value
WIND_050,WIND,0.5,wind_capacity_kw,风电装机,kW,23998.151000242106
WIND_050,WIND,0.5,pv_capacity_kw,光伏装机,kW,3835.1857105709114
WIND_050,WIND,0.5,battery_power_capacity_kw,电池功率,kW,27.091294889843994
WIND_050,WIND,0.5,battery_energy_capacity_kwh,电池容量,kWh,39.665862647169504
WIND_050,WIND,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,3046.9102452408933
WIND_050,WIND,0.5,h2_storage_capacity_kg,储氢容量,kg,531.2590372412548
WIND_050,WIND,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_050,WIND,0.5,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
WIND_075,WIND,0.75,wind_capacity_kw,风电装机,kW,22537.91905357431
WIND_075,WIND,0.75,pv_capacity_kw,光伏装机,kW,4989.100572857835
WIND_075,WIND,0.75,battery_power_capacity_kw,电池功率,kW,251.04047321284452
WIND_075,WIND,0.75,battery_energy_capacity_kwh,电池容量,kWh,528.5062593954622
WIND_075,WIND,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,3078.2011457156677
WIND_075,WIND,0.75,h2_storage_capacity_kg,储氢容量,kg,500.9268287384702
WIND_075,WIND,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_075,WIND,0.75,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
WIND_100,WIND,1.0,wind_capacity_kw,风电装机,kW,21905.65407971086
WIND_100,WIND,1.0,pv_capacity_kw,光伏装机,kW,5804.70632202694
WIND_100,WIND,1.0,battery_power_capacity_kw,电池功率,kW,508.24845609536044
WIND_100,WIND,1.0,battery_energy_capacity_kwh,电池容量,kWh,923.482457521801
WIND_100,WIND,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,2903.954932427694
WIND_100,WIND,1.0,h2_storage_capacity_kg,储氢容量,kg,406.12483748151135
WIND_100,WIND,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_100,WIND,1.0,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
WIND_125,WIND,1.25,wind_capacity_kw,风电装机,kW,20700.190739432503
WIND_125,WIND,1.25,pv_capacity_kw,光伏装机,kW,7069.871630804535
WIND_125,WIND,1.25,battery_power_capacity_kw,电池功率,kW,1049.512919850633
WIND_125,WIND,1.25,battery_energy_capacity_kwh,电池容量,kWh,2055.7358200921512
WIND_125,WIND,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,3053.2116173197037
WIND_125,WIND,1.25,h2_storage_capacity_kg,储氢容量,kg,333.4492002453534
WIND_125,WIND,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_125,WIND,1.25,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
WIND_150,WIND,1.5,wind_capacity_kw,风电装机,kW,19922.770990913574
WIND_150,WIND,1.5,pv_capacity_kw,光伏装机,kW,8315.920020455667
WIND_150,WIND,1.5,battery_power_capacity_kw,电池功率,kW,1400.1590847249408
WIND_150,WIND,1.5,battery_energy_capacity_kwh,电池容量,kWh,3026.1296680768573
WIND_150,WIND,1.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2709.840915275059
WIND_150,WIND,1.5,h2_storage_capacity_kg,储氢容量,kg,284.6946008403189
WIND_150,WIND,1.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_150,WIND,1.5,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
PV_050,PV,0.5,wind_capacity_kw,风电装机,kW,20819.162641049927
PV_050,PV,0.5,pv_capacity_kw,光伏装机,kW,8385.244014353397
PV_050,PV,0.5,battery_power_capacity_kw,电池功率,kW,923.2532517654304
PV_050,PV,0.5,battery_energy_capacity_kwh,电池容量,kWh,1860.303872020491
PV_050,PV,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2569.7635249459663
PV_050,PV,0.5,h2_storage_capacity_kg,储氢容量,kg,269.3984567456556
PV_050,PV,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,44.03542665403802
PV_050,PV,0.5,heat_pump_power_capacity_kw,热泵功率,kW,3060.0
PV_075,PV,0.75,wind_capacity_kw,风电装机,kW,21451.15168065151
PV_075,PV,0.75,pv_capacity_kw,光伏装机,kW,6294.0919086918975
PV_075,PV,0.75,battery_power_capacity_kw,电池功率,kW,712.0768719199505
PV_075,PV,0.75,battery_energy_capacity_kwh,电池容量,kWh,1386.8189452433303
PV_075,PV,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,2955.1350031208667
PV_075,PV,0.75,h2_storage_capacity_kg,储氢容量,kg,329.866282805053
PV_075,PV,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_075,PV,0.75,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
PV_100,PV,1.0,wind_capacity_kw,风电装机,kW,21905.65407971086
PV_100,PV,1.0,pv_capacity_kw,光伏装机,kW,5804.70632202694
PV_100,PV,1.0,battery_power_capacity_kw,电池功率,kW,508.24845609536044
PV_100,PV,1.0,battery_energy_capacity_kwh,电池容量,kWh,923.482457521801
PV_100,PV,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,2903.954932427694
PV_100,PV,1.0,h2_storage_capacity_kg,储氢容量,kg,406.12483748151135
PV_100,PV,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_100,PV,1.0,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
PV_125,PV,1.25,wind_capacity_kw,风电装机,kW,22476.15643098565
PV_125,PV,1.25,pv_capacity_kw,光伏装机,kW,4997.124260163835
PV_125,PV,1.25,battery_power_capacity_kw,电池功率,kW,264.78674696171464
PV_125,PV,1.25,battery_energy_capacity_kwh,电池容量,kWh,535.1576106421888
PV_125,PV,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,3144.2703939435432
PV_125,PV,1.25,h2_storage_capacity_kg,储氢容量,kg,494.1960758450383
PV_125,PV,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_125,PV,1.25,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
PV_150,PV,1.5,wind_capacity_kw,风电装机,kW,23040.0
PV_150,PV,1.5,pv_capacity_kw,光伏装机,kW,4194.374204838603
PV_150,PV,1.5,battery_power_capacity_kw,电池功率,kW,431.87781493419936
PV_150,PV,1.5,battery_energy_capacity_kwh,电池容量,kWh,864.1609582669122
PV_150,PV,1.5,electrolyzer_power_capacity_kw,电解槽功率,kW,3398.0
PV_150,PV,1.5,h2_storage_capacity_kg,储氢容量,kg,557.19092583445
PV_150,PV,1.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_150,PV,1.5,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
BATTERY_050,BATTERY,0.5,wind_capacity_kw,风电装机,kW,21118.892782827697
BATTERY_050,BATTERY,0.5,pv_capacity_kw,光伏装机,kW,6757.429635043858
BATTERY_050,BATTERY,0.5,battery_power_capacity_kw,电池功率,kW,1568.9717993701051
BATTERY_050,BATTERY,0.5,battery_energy_capacity_kwh,电池容量,kWh,3638.232660322952
BATTERY_050,BATTERY,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2884.2133307171534
BATTERY_050,BATTERY,0.5,h2_storage_capacity_kg,储氢容量,kg,325.84786320354186
BATTERY_050,BATTERY,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_050,BATTERY,0.5,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
BATTERY_075,BATTERY,0.75,wind_capacity_kw,风电装机,kW,21640.841136616164
BATTERY_075,BATTERY,0.75,pv_capacity_kw,光伏装机,kW,6112.771544939521
BATTERY_075,BATTERY,0.75,battery_power_capacity_kw,电池功率,kW,699.5794316919178
BATTERY_075,BATTERY,0.75,battery_energy_capacity_kwh,电池容量,kWh,1757.5976411855395
BATTERY_075,BATTERY,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,2903.6579593484876
BATTERY_075,BATTERY,0.75,h2_storage_capacity_kg,储氢容量,kg,343.18416281829997
BATTERY_075,BATTERY,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_075,BATTERY,0.75,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
BATTERY_100,BATTERY,1.0,wind_capacity_kw,风电装机,kW,21905.65407971086
BATTERY_100,BATTERY,1.0,pv_capacity_kw,光伏装机,kW,5804.70632202694
BATTERY_100,BATTERY,1.0,battery_power_capacity_kw,电池功率,kW,508.24845609536044
BATTERY_100,BATTERY,1.0,battery_energy_capacity_kwh,电池容量,kWh,923.482457521801
BATTERY_100,BATTERY,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,2903.954932427694
BATTERY_100,BATTERY,1.0,h2_storage_capacity_kg,储氢容量,kg,406.12483748151135
BATTERY_100,BATTERY,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_100,BATTERY,1.0,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
BATTERY_125,BATTERY,1.25,wind_capacity_kw,风电装机,kW,21897.594210199335
BATTERY_125,BATTERY,1.25,pv_capacity_kw,光伏装机,kW,5813.097025907728
BATTERY_125,BATTERY,1.25,battery_power_capacity_kw,电池功率,kW,511.8687806881584
BATTERY_125,BATTERY,1.25,battery_energy_capacity_kwh,电池容量,kWh,917.3264981615016
BATTERY_125,BATTERY,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,2905.059045617824
BATTERY_125,BATTERY,1.25,h2_storage_capacity_kg,储氢容量,kg,405.27337889895097
BATTERY_125,BATTERY,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_125,BATTERY,1.25,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
BATTERY_150,BATTERY,1.5,wind_capacity_kw,风电装机,kW,21925.005970862196
BATTERY_150,BATTERY,1.5,pv_capacity_kw,光伏装机,kW,5766.658705517069
