hour,pv_cf,wind_cf,pv_available_kw,wind_available_kw,electric_load_kw,heat_load_kw,hydrogen_load_kg,tou_period,electricity_price_cny_per_kwh,gas_price_cny_per_m3,grid_emission_kgco2_per_kwh,carbon_price_cny_per_tco2,heat_pump_cop,heat_pump_available_ratio,electrolyzer_kwh_per_kg,fuel_cell_kwh_per_kg
0,0.0,0.42,0.0,3780.0,5979.999999999999,3720.0,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
1,0.0,0.45,0.0,4050.0,5750.0,3660.0,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
2,0.0,0.48,0.0,4320.0,5520.0,3600.0,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
3,0.0,0.5,0.0,4500.0,5405.0,3540.0,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
4,0.0,0.52,0.0,4680.0,5520.0,3480.0,20.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
5,0.02,0.5,184.0,4500.0,5979.999999999999,3600.0,25.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
6,0.12,0.46,1104.0,4140.0,7129.999999999999,3900.0,40.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
7,0.3,0.4,2760.0,3600.0,8049.999999999999,4200.0,50.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
8,0.55,0.36,5060.0,3240.0,8740.0,4080.0,55.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
9,0.75,0.32,6899.999999999999,2880.0,9315.0,3600.0,55.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
10,0.88,0.3,8095.999999999999,2700.0,9545.0,3120.0,45.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
11,0.95,0.28,8740.0,2520.0,9430.0,2880.0,35.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
12,0.9,0.3,8280.0,2700.0,9200.0,2760.0,30.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
13,0.78,0.34,7175.999999999999,3060.0,9085.0,2760.0,30.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
14,0.58,0.38,5336.0,3420.0,9200.0,2880.0,35.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
15,0.35,0.42,3219.9999999999995,3780.0,9545.0,3120.0,40.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
16,0.12,0.44,1104.0,3960.0,9890.0,3420.0,50.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
17,0.02,0.47,184.0,4230.0,10350.0,3840.0,60.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
18,0.0,0.5,0.0,4500.0,10120.0,4200.0,50.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
19,0.0,0.52,0.0,4680.0,9430.0,4320.0,35.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
20,0.0,0.55,0.0,4950.0,8510.0,4200.0,25.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
21,0.0,0.54,0.0,4860.0,7474.999999999999,4080.0,20.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
22,0.0,0.5,0.0,4500.0,6669.999999999999,3900.0,15.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
23,0.0,0.46,0.0,4140.0,6209.999999999999,3780.0,15.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
