case_id,capex_group,capex_multiplier,status,annual_operation_cost_cny,annualized_investment_cost_cny,annual_demand_charge_cost_cny,annual_fuel_cell_backup_value_cny,annual_total_cost_cny,annual_grid_cost_cny,annual_grid_sell_revenue_cny,annual_gas_cost_cny,annual_carbon_cost_cny,annual_grid_purchase_kwh,annual_carbon_emission_kg,annual_renewable_available_kwh,annual_renewable_used_kwh,annual_renewable_consumption_rate,green_power_min_share,annual_green_power_share,annual_electricity_demand_kwh,annual_green_power_kwh,annual_h2_external_supply_kg,annual_grid_sell_kwh,grid_import_peak_kw,fuel_cell_backup_capacity_kw
WIND_050,WIND,0.5,optimal,384573.9685279904,11952260.916008145,0.0,0.0,12336834.884536136,0.0,0.0,89044.43811699013,4000.588515720133,0.0,64111.995444232896,105888921.89655608,97126703.20956361,0.9172508461692304,0.5,0.9998002258393982,97146110.49224293,97126703.20956361,0.0,8762218.686992485,0.0,0.0
WIND_075,WIND,0.75,optimal,453953.9788266262,16018078.12780996,0.0,0.0,16472032.106636588,0.0,0.0,153423.5416384075,6893.012878730373,0.0,110464.94997965342,103370394.68309215,96962289.91071793,0.938008316675003,0.5,0.9996820994323461,96993124.07992147,96962289.91071793,0.0,6408104.772374216,0.0,0.0
WIND_100,WIND,1.0,optimal,789750.3424419146,19618044.699404623,-0.0,0.0,20407795.041846536,0.0,0.0,468919.11689037795,21067.5980836509,0.0,337621.7641610721,102307088.87329629,96636427.26614904,0.944572153605405,0.5,0.9992280981686057,96711078.72493294,96636427.26614904,5.186961971048731e-12,5670661.607147238,-0.0,0.0
WIND_125,WIND,1.25,optimal,984597.6651269603,23132571.398405865,-0.0,0.0,24117169.063532826,0.0,0.0,604075.4246890349,27139.900680428953,0.0,434934.30577610503,101719542.87262759,96701083.42979804,0.9506637633132737,0.5,0.9954329918967673,97144744.26403837,96701083.42979804,7.762679388179095e-12,5018459.442829529,-0.0,0.0
WIND_150,WIND,1.5,optimal,1250697.5674558338,26453225.004580844,0.0,0.0,27703922.572036676,0.0,0.0,831280.859920661,37347.786474515466,0.0,598522.219142876,101039836.05716212,96474454.0784423,0.954816019533751,0.5,0.9935048294261462,97105168.71283503,96474454.0784423,0.0,4565381.978719827,0.0,0.0
PV_050,PV,0.5,optimal,898608.2311801714,18037411.824457947,0.0,0.0,18936020.05563812,0.0,0.0,494093.31702288566,22198.62454720421,0.0,355747.1882564777,102074773.38887253,96853672.86028396,0.9488502363978037,0.5,0.9933883532586633,97498297.15898101,96853672.86028396,0.0,5221100.528588569,0.0,0.0
PV_075,PV,0.75,optimal,852650.6992011879,18858164.387586378,0.0,0.0,19710815.086787567,0.0,0.0,479381.6179268883,21537.657330219237,0.0,345154.76490735955,102310452.31257641,96862425.76467672,0.9467500492397882,0.5,0.9955515448575142,97295239.27215633,96862425.76467672,0.0,5448026.547899693,0.0,0.0
PV_100,PV,1.0,optimal,789750.3424419146,19618044.699404623,-0.0,0.0,20407795.041846536,0.0,0.0,468919.11689037795,21067.5980836509,0.0,337621.7641610721,102307088.87329629,96636427.26614904,0.944572153605405,0.5,0.9992280981686057,96711078.72493294,96636427.26614904,5.186961971048731e-12,5670661.607147238,-0.0,0.0
PV_125,PV,1.25,optimal,546402.6320613902,20324381.12937458,55433.09549165933,0.0,20926216.85692763,75604.08757649096,0.0,166852.9135515407,15534.586977797413,198823.3008653647,248951.714387779,102535905.60453254,96719486.34476866,0.9432743171723957,0.5,0.9979485475799946,96918309.64563403,96719486.34476866,7.72715225139109e-12,5816419.259763869,140.83611659466294,0.0
PV_150,PV,1.5,optimal,742187.3851966466,20403691.97421312,156304.82842393144,0.0,21302184.187833697,217436.28646868956,0.0,202977.96623650996,31712.388712081378,558831.9522690531,508211.35756540677,101361557.58364427,96374639.05260906,0.9508006916042112,0.5,0.9941376836304682,96942949.29114926,96374639.05260906,3.8546943414985435e-12,4986918.531035216,397.11592587380954,0.0
