hour,pv_cf,wind_cf,pv_available_kw,wind_available_kw,electric_load_kw,heat_load_kw,hydrogen_load_kg,tou_period,electricity_price_cny_per_kwh,gas_price_cny_per_m3,grid_emission_kgco2_per_kwh,carbon_price_cny_per_tco2
0,0.0,0.42,0,4200.0,5200,6200,15,谷,0.264,3,0.6479,62.4
1,0.0,0.45,0,4500.0,5000,6100,15,谷,0.264,3,0.6479,62.4
2,0.0,0.48,0,4800.0,4800,6000,15,谷,0.264,3,0.6479,62.4
3,0.0,0.5,0,5000.0,4700,5900,15,谷,0.264,3,0.6479,62.4
4,0.0,0.52,0,5200.0,4800,5800,20,平,0.55,3,0.6479,62.4
5,0.02,0.5,160,5000.0,5200,6000,25,平,0.55,3,0.6479,62.4
6,0.12,0.46,960,4600.0,6200,6500,40,峰,0.924,3,0.6479,62.4
7,0.3,0.4,2400,4000.0,7000,7000,50,峰,0.924,3,0.6479,62.4
8,0.55,0.36,4400,3600.0,7600,6800,55,平,0.55,3,0.6479,62.4
9,0.75,0.32,6000,3200.0,8100,6000,55,平,0.55,3,0.6479,62.4
10,0.88,0.3,7040,3000.0,8300,5200,45,平,0.55,3,0.6479,62.4
11,0.95,0.28,7600,2800.0000000000005,8200,4800,35,谷,0.264,3,0.6479,62.4
12,0.9,0.3,7200,3000.0,8000,4600,30,谷,0.264,3,0.6479,62.4
13,0.78,0.34,6240,3400.0000000000005,7900,4600,30,谷,0.264,3,0.6479,62.4
14,0.58,0.38,4640,3800.0,8000,4800,35,谷,0.264,3,0.6479,62.4
15,0.35,0.42,2800,4200.0,8300,5200,40,谷,0.264,3,0.6479,62.4
16,0.12,0.44,960,4400.0,8600,5700,50,平,0.55,3,0.6479,62.4
17,0.02,0.47,160,4700.0,9000,6400,60,平,0.55,3,0.6479,62.4
18,0.0,0.5,0,5000.0,8800,7000,50,峰,0.924,3,0.6479,62.4
19,0.0,0.52,0,5200.0,8200,7200,35,峰,0.924,3,0.6479,62.4
20,0.0,0.55,0,5500.0,7400,7000,25,峰,0.924,3,0.6479,62.4
21,0.0,0.54,0,5400.0,6500,6800,20,峰,0.924,3,0.6479,62.4
22,0.0,0.5,0,5000.0,5800,6500,15,平,0.55,3,0.6479,62.4
23,0.0,0.46,0,4600.0,5400,6300,15,平,0.55,3,0.6479,62.4
