hour,pv_cf,wind_cf,pv_available_kw,wind_available_kw,electric_load_kw,heat_load_kw,hydrogen_load_kg,tou_period,electricity_price_cny_per_kwh,gas_price_cny_per_m3,grid_emission_kgco2_per_kwh,carbon_price_cny_per_tco2,heat_pump_cop,heat_pump_available_ratio
0,0.0,0.0,0,0.0,125675.6,112000,923.94,谷,0.216,2.952,0.6849,62.36,2.4785,0.85
1,0.0,0.0,0,0.0,125675.6,112000,923.94,谷,0.216,2.952,0.6849,62.36,2.472,0.85
2,0.0,0.0,0,0.0,125675.6,112000,923.94,谷,0.216,2.952,0.6849,62.36,2.4615,0.85
3,0.0,0.0,0,0.0,125675.6,112000,923.94,谷,0.216,2.952,0.6849,62.36,2.4485,0.85
4,0.0,0.0,0,0.0,125675.6,112000,923.94,平,0.45,2.952,0.6849,62.36,2.4205,0.85
5,0.0,0.0027,0,324.0,135135.0,112000,923.94,平,0.45,2.952,0.6849,62.36,2.384,0.85
6,0.0,0.0059,0,708.0,135135.0,112000,923.94,峰,0.756,2.952,0.6849,62.36,2.3715,0.85
7,0.0345,0.002,3450,240.0,135135.0,112000,1078.94,峰,0.756,2.952,0.6849,62.36,2.418,0.85
8,0.1486,0.0,14860,0.0,144594.5,112000,1078.94,平,0.45,2.952,0.6849,62.36,2.5795,1.0
9,0.2405,0.0,24050,0.0,144594.5,109728,1078.94,平,0.45,2.952,0.6849,62.36,2.694,1.0
10,0.2983,0.0,29830,0.0,144594.5,104389,1078.94,平,0.45,2.952,0.6849,62.36,2.8414,1.0
11,0.2928,0.0237,29280,2844.0,144594.5,98499,1078.94,谷,0.216,2.952,0.6849,62.36,3.0274,1.0
12,0.3203,0.0309,32030,3708.0,144594.5,96010,1078.94,谷,0.216,2.952,0.6849,62.36,3.106,1.0
13,0.263,0.0341,26300,4092.0,144594.5,94984,1078.94,谷,0.216,2.952,0.6849,62.36,3.1384,1.0
14,0.1775,0.0448,17750,5376.0,144594.5,95307,1078.94,谷,0.216,2.952,0.6849,62.36,3.1282,1.0
15,0.0856,0.0653,8560,7836.0,144594.5,98670,1078.94,谷,0.216,2.952,0.6849,62.36,3.022,1.0
16,0.0088,0.095,880,11400.0,144594.5,105149,1078.94,平,0.45,2.952,0.6849,62.36,2.8174,1.0
17,0.0,0.1098,0,13176.0,144594.5,106954,1078.94,平,0.45,2.952,0.6849,62.36,2.767,1.0
18,0.0,0.0939,0,11268.0,139189.0,108170,1078.94,峰,0.756,2.952,0.6849,62.36,2.735,1.0
19,0.0,0.0729,0,8748.0,139189.0,108968,1078.94,峰,0.756,2.952,0.6849,62.36,2.714,1.0
20,0.0,0.0662,0,7943.999999999999,139189.0,109633,923.94,峰,0.756,2.952,0.6849,62.36,2.6965,1.0
21,0.0,0.0753,0,9036.0,139189.0,110393,923.94,峰,0.756,2.952,0.6849,62.36,2.6765,1.0
22,0.0,0.0967,0,11604.0,139189.0,110944,923.94,平,0.45,2.952,0.6849,62.36,2.662,1.0
23,0.0,0.118,0,14160.0,135135.0,111514,923.94,平,0.45,2.952,0.6849,62.36,2.647,1.0
