scenario_id,hour,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,is_battery_charging,is_battery_discharging,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_sale_kg,h2_fuel_cell_kg,fuel_cell_power_kw,is_fuel_cell_on,is_electrolyzer_on,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw,hydrogen_balance_residual_kg,fuel_cell_conversion_residual_kw
S0,0,125675.6,112000.0,0.0,125675.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111789.01218119118,0.0,0.0,0.0,0.0
S0,1,125675.6,112000.0,0.0,125675.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111789.01218119118,0.0,0.0,0.0,0.0
S0,2,125675.6,112000.0,0.0,125675.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111789.01218119118,0.0,0.0,0.0,0.0
S0,3,125675.6,112000.0,0.0,125675.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111789.01218119118,0.0,0.0,0.0,0.0
S0,4,125675.6,112000.0,0.0,125675.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111789.01218119118,0.0,0.0,0.0,0.0
S0,5,135135.0,112000.0,0.0,135135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118267.75524119117,0.0,0.0,0.0,0.0
S0,6,135135.0,112000.0,0.0,135135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118267.75524119117,0.0,0.0,0.0,0.0
S0,7,135135.0,112000.0,0.0,135135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118267.75524119117,0.0,0.0,0.0,0.0
S0,8,144594.5,112000.0,0.0,144594.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,11904.534139440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124746.56679119117,0.0,0.0,0.0,0.0
S0,9,144594.5,109728.0,0.0,144594.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109728.0,11663.04216118314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124224.94411815557,0.0,0.0,0.0,0.0
