case_id,carbon_cap_ratio,capacity_variable,capacity_name,unit,capacity_value
CARBON_CAP_100,1.0,wind_capacity_kw,风电装机,kW,0.0
CARBON_CAP_100,1.0,pv_capacity_kw,光伏装机,kW,1548176.474758952
CARBON_CAP_100,1.0,battery_power_capacity_kw,电池功率,kW,75464.96345051224
CARBON_CAP_100,1.0,battery_energy_capacity_kwh,电池容量,kWh,227228.36464246354
CARBON_CAP_100,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
CARBON_CAP_100,1.0,h2_storage_capacity_kg,储氢容量,kg,26291.142981144156
CARBON_CAP_100,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_100,1.0,heat_pump_power_capacity_kw,热泵功率,kW,44078.2594308405
CARBON_CAP_090,0.9,wind_capacity_kw,风电装机,kW,0.0
CARBON_CAP_090,0.9,pv_capacity_kw,光伏装机,kW,1710523.5042281905
CARBON_CAP_090,0.9,battery_power_capacity_kw,电池功率,kW,163050.3195665562
CARBON_CAP_090,0.9,battery_energy_capacity_kwh,电池容量,kWh,504229.9005228765
CARBON_CAP_090,0.9,electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
CARBON_CAP_090,0.9,h2_storage_capacity_kg,储氢容量,kg,25159.85926288358
CARBON_CAP_090,0.9,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_090,0.9,heat_pump_power_capacity_kw,热泵功率,kW,49597.08242415711
CARBON_CAP_080,0.8,wind_capacity_kw,风电装机,kW,0.0
CARBON_CAP_080,0.8,pv_capacity_kw,光伏装机,kW,1880521.888092635
CARBON_CAP_080,0.8,battery_power_capacity_kw,电池功率,kW,208776.89712117193
CARBON_CAP_080,0.8,battery_energy_capacity_kwh,电池容量,kWh,724446.3686288793
CARBON_CAP_080,0.8,electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
CARBON_CAP_080,0.8,h2_storage_capacity_kg,储氢容量,kg,25159.859262883572
CARBON_CAP_080,0.8,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_080,0.8,heat_pump_power_capacity_kw,热泵功率,kW,54202.94767870302
CARBON_CAP_070,0.7,wind_capacity_kw,风电装机,kW,0.0
CARBON_CAP_070,0.7,pv_capacity_kw,光伏装机,kW,2000000.0
CARBON_CAP_070,0.7,battery_power_capacity_kw,电池功率,kW,255769.64116226655
CARBON_CAP_070,0.7,battery_energy_capacity_kwh,电池容量,kWh,942965.2078602309
CARBON_CAP_070,0.7,electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
CARBON_CAP_070,0.7,h2_storage_capacity_kg,储氢容量,kg,20599.055238436005
CARBON_CAP_070,0.7,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_070,0.7,heat_pump_power_capacity_kw,热泵功率,kW,50383.740327961954
CARBON_CAP_060,0.6,wind_capacity_kw,风电装机,kW,185024.59613358372
CARBON_CAP_060,0.6,pv_capacity_kw,光伏装机,kW,2000000.0
CARBON_CAP_060,0.6,battery_power_capacity_kw,电池功率,kW,252762.99638562743
CARBON_CAP_060,0.6,battery_energy_capacity_kwh,电池容量,kWh,1000000.0
CARBON_CAP_060,0.6,electrolyzer_power_capacity_kw,电解槽功率,kW,200000.00000000003
CARBON_CAP_060,0.6,h2_storage_capacity_kg,储氢容量,kg,18668.970342057488
CARBON_CAP_060,0.6,fuel_cell_power_capacity_kw,燃料电池功率,kW,-2.910383045673368e-10
CARBON_CAP_060,0.6,heat_pump_power_capacity_kw,热泵功率,kW,50196.77371151423
CARBON_CAP_050,0.5,wind_capacity_kw,风电装机,kW,563174.0377040018
CARBON_CAP_050,0.5,pv_capacity_kw,光伏装机,kW,2000000.0
CARBON_CAP_050,0.5,battery_power_capacity_kw,电池功率,kW,264447.81413015345
CARBON_CAP_050,0.5,battery_energy_capacity_kwh,电池容量,kWh,1000000.0
CARBON_CAP_050,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
CARBON_CAP_050,0.5,h2_storage_capacity_kg,储氢容量,kg,23177.034267729756
CARBON_CAP_050,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_050,0.5,heat_pump_power_capacity_kw,热泵功率,kW,54986.19153674834
CARBON_CAP_040,0.4,wind_capacity_kw,风电装机,kW,947861.004246915
CARBON_CAP_040,0.4,pv_capacity_kw,光伏装机,kW,2000000.0
CARBON_CAP_040,0.4,battery_power_capacity_kw,电池功率,kW,276334.64139632945
CARBON_CAP_040,0.4,battery_energy_capacity_kwh,电池容量,kWh,1000000.0
CARBON_CAP_040,0.4,electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
CARBON_CAP_040,0.4,h2_storage_capacity_kg,储氢容量,kg,26161.355545352668
CARBON_CAP_040,0.4,fuel_cell_power_capacity_kw,燃料电池功率,kW,1014.6686667396646
CARBON_CAP_040,0.4,heat_pump_power_capacity_kw,热泵功率,kW,54986.19153674834
