scenario_id,hour,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,is_battery_charging,is_battery_discharging,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_sale_kg,h2_fuel_cell_kg,fuel_cell_power_kw,is_fuel_cell_on,is_electrolyzer_on,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw,hydrogen_balance_residual_kg,fuel_cell_conversion_residual_kw,case_label,study_id,study_title,base_scenario_id,x_label,x_value
HSAL4,0,5200.0,6200.0,15.0,5066.666666666666,0.0,0.0,4200.0,0.0,2066.6666666666665,6200.0,1.0,0.0,0.0,0.0,0.0,5000.0,1.0,-0.0,2000.0,38.46153846153847,0.0,204.2307692307692,95.7692307692308,0.0,227.69230769230765,0.0,0.0,1.0,1.0,3282.693333333333,-4.547473508864641e-13,0.0,2.842170943040401e-14,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,1,5000.0,6100.0,15.0,4796.4912280701765,0.0,0.0,4500.0,0.0,2033.3333333333333,6100.0,1.0,0.0,0.0,263.15789473684214,0.0,5250.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,119.23076923076927,0.0,0.0,0.0,0.0,1.0,1.0,3107.6466666666674,4.547473508864641e-13,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,2,4800.0,6000.0,15.0,9000.0,0.0,0.0,4800.0,0.0,2000.0,6000.0,1.0,0.0,0.0,5000.0,0.0,10000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,142.69230769230774,0.0,0.0,0.0,0.0,1.0,1.0,5831.1,0.0,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,3,4700.0,5900.0,15.0,3666.666666666666,0.0,0.0,5000.0,0.0,1966.6666666666667,5900.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,166.1538461538462,0.0,0.0,0.0,0.0,1.0,1.0,2375.633333333333,-6.821210263296962e-13,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,4,4800.0,5800.0,20.0,3533.333333333334,0.0,0.0,5200.0,0.0,1933.3333333333333,5800.0,1.0,0.0,0.0,0.0,-0.0,10000.0,1.0,-0.0,2000.0,38.46153846153847,18.461538461538467,0.0,184.61538461538464,0.0,0.0,0.0,0.0,1.0,1.0,2289.2466666666674,6.821210263296962e-13,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,5,5200.0,6000.0,25.0,4040.0,160.0,0.0,5000.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,2000.0,38.46153846153847,13.461538461538467,0.0,198.07692307692312,0.0,0.0,0.0,0.0,1.0,1.0,2617.516,0.0,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,6,6200.0,6500.0,40.0,0.0,960.0,0.0,4600.0,0.0,2166.6666666666665,6500.0,1.0,0.0,0.0,0.0,4566.666666666669,5192.982456140349,-2.220446049250313e-16,1.0000000000000002,1760.0000000000027,33.8461538461539,0.0,6.1538461538460965,191.92307692307702,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.3642420526593924e-12,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,7,7000.0,7000.0,50.0,0.0,2400.0,0.0,4000.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,4933.333333333332,0.0,0.0,1.0,2000.0,38.46153846153847,0.0,11.538461538461533,180.38461538461547,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.3642420526593924e-12,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,8,7600.0,6800.0,55.0,3866.666666666666,4400.0,0.0,3600.0,0.0,2266.6666666666665,6800.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,2000.0,38.46153846153847,0.0,16.538461538461533,163.84615384615392,0.0,0.0,0.0,0.0,1.0,1.0,2505.213333333333,-4.547473508864641e-13,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
HSAL4,9,8100.0,6000.0,55.0,2900.0,6000.0,0.0,3200.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,2000.0,38.46153846153847,0.0,16.538461538461533,147.30769230769238,0.0,0.0,0.0,0.0,1.0,1.0,1878.91,0.0,0.0,0.0,0.0,40 元/kg,h2_sale_price_sensitivity,售氢价格敏感性,S5,售氢价格/(元/kg),40.0
