scenario_id,hour,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,is_battery_charging,is_battery_discharging,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,is_fuel_cell_on,is_electrolyzer_on,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw,hydrogen_balance_residual_kg,fuel_cell_conversion_residual_kw,case_label,study_id,study_title,base_scenario_id,x_label,x_value
H0,0,5200.0,6200.0,0.0,8066.666666666666,0.0,0.0,4200.0,0.0,2066.6666666666665,6200.0,1.0,0.0,0.0,5000.0,0.0,9750.0,1.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,1.0,1.0,5226.393333333333,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,1,5000.0,6100.0,0.0,2533.333333333333,0.0,0.0,4500.0,0.0,2033.3333333333333,6100.0,1.0,0.0,0.0,0.0,0.0,9750.0,1.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,1.0,1.0,1641.3466666666666,-2.2737367544323206e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,2,4800.0,6000.0,0.0,2000.0,0.0,0.0,4800.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,0.0,9750.0,1.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,1.0,1.0,1295.8,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,3,4700.0,5900.0,0.0,1929.8245614035095,0.0,0.0,5000.0,0.0,1966.6666666666667,5900.0,1.0,0.0,0.0,263.15789473684345,0.0,10000.000000000002,1.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,1.0,1.0,1250.333333333334,-6.821210263296962e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,4,4800.0,5800.0,0.0,533.333333333333,0.0,0.0,5200.0,0.0,1933.3333333333333,5800.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,55.55555555555554,244.44444444444446,0.0,55.55555555555556,1000.0,1.0,1.0,345.5466666666665,-2.2737367544323206e-13,0.0,-1.4210854715202004e-14,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,5,5200.0,6000.0,0.0,646.666666666664,160.0,0.0,5000.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,993.3333333333353,8954.385964912279,0.0,1.0,0.0,0.0,0.0,22.222222222222257,222.2222222222222,0.0,22.222222222222257,400.0000000000006,1.0,1.0,418.97533333333166,9.094947017729282e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,6,6200.0,6500.0,0.0,0.0,960.0,0.0,4600.0,0.0,2166.6666666666665,6500.0,1.0,0.0,0.0,0.0,2806.666666666666,5999.999999999998,0.0,1.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,7,7000.0,7000.0,0.0,0.0,2400.0,0.0,4000.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,2933.333333333332,2912.280701754385,0.0,1.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,0.0,-1.3642420526593924e-12,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,8,7600.0,6800.0,0.0,-0.0,4400.0,0.0,3600.0,0.0,2266.6666666666665,6800.0,1.0,0.0,0.0,0.0,1866.666666666666,947.3684210526316,0.0,1.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,9,8100.0,6000.0,0.0,0.0,6000.0,0.0,3200.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,10,8300.0,5200.0,0.0,0.0,7040.0,0.0,3000.0,0.0,1733.3333333333333,5200.0,1.0,0.0,0.0,6.66666666666606,0.0,6.333333333332757,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,11,8200.0,4800.0,0.0,0.0,7600.0,0.0,2800.0000000000005,0.0,1600.0,4800.0,1.0,0.0,0.0,600.0,0.0,576.3333333333328,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,12,8000.0,4600.0,0.0,4252.982456140352,7200.0,0.0,3000.0,0.0,1533.3333333333333,4600.0,1.0,0.0,0.0,4919.649122807018,0.0,5250.0,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,2755.5073333333344,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,13,7900.0,4600.0,0.0,4793.333333333334,6240.0,0.0,3400.0000000000005,0.0,1533.3333333333333,4600.0,1.0,0.0,0.0,5000.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,3105.600666666667,9.094947017729282e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,14,8000.0,4800.0,0.0,1160.0,4640.0,0.0,3800.0,0.0,1600.0,4800.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,751.5640000000001,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,15,8300.0,5200.0,0.0,3033.333333333334,2800.0,0.0,4200.0,0.0,1733.3333333333333,5200.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,1965.296666666667,6.821210263296962e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,16,8600.0,5700.0,0.0,5140.0,960.0,0.0,4400.0,0.0,1900.0,5700.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,3330.206,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,17,9000.0,6400.0,0.0,6273.333333333332,160.0,0.0,4700.0,0.0,2133.3333333333335,6400.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,222.2222222222222,0.0,0.0,0.0,1.0,1.0,4064.492666666666,-1.3642420526593924e-12,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,18,8800.0,7000.0,0.0,133.33333333333212,0.0,0.0,5000.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,5000.0,4736.842105263158,0.0,1.0,0.0,0.0,0.0,55.55555555555554,166.66666666666666,0.0,55.55555555555556,1000.0,1.0,1.0,86.38666666666589,-1.3642420526593924e-12,0.0,-1.4210854715202004e-14,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,19,8200.0,7200.0,0.0,0.0,0.0,0.0,5200.0,0.0,2400.0,7200.0,1.0,0.0,0.0,0.0,4400.0,105.26315789473756,0.0,1.0,0.0,0.0,0.0,55.55555555555556,111.1111111111111,0.0,55.55555555555556,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,20,7400.0,7000.0,0.0,3133.3333333333308,0.0,0.0,5500.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,100.00000000000155,-9.094947017729282e-13,-4.440892098500626e-15,1.0000000000000044,0.0,0.0,0.0,55.55555555555555,55.55555555555555,0.0,55.55555555555556,1000.0,1.0,1.0,2030.086666666665,-1.3642420526593924e-12,0.0,-7.105427357601002e-15,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,21,6500.0,6800.0,0.0,2366.666666666667,0.0,0.0,5400.0,0.0,2266.6666666666665,6800.0,1.0,0.0,0.0,0.0,-8.640199666842819e-13,0.0,1.0,0.0,0.0,0.0,0.0,55.55555555555555,-0.0,0.0,55.55555555555556,1000.0,1.0,1.0,1533.3633333333337,-4.547473508864641e-13,0.0,-7.105427357601002e-15,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,22,5800.0,6500.0,0.0,3229.824561403508,0.0,0.0,5000.0,0.0,2166.6666666666665,6500.0,1.0,0.0,0.0,263.15789473684214,0.0,250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2092.603333333333,-9.663381206337363e-13,0.0,0.0,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H0,23,5400.0,6300.0,0.0,7900.0,0.0,0.0,4600.0,0.0,2100.0,6300.0,1.0,0.0,0.0,5000.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,5118.41,0.0,0.0,0.0,-0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H1,0,5200.0,6200.0,7.5,3066.666666666666,0.0,0.0,4200.0,0.0,2066.6666666666665,6200.0,1.0,0.0,0.0,0.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,7.5,292.5,0.0,0.0,0.0,1.0,1.0,1986.893333333333,-4.547473508864641e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,1,5000.0,6100.0,7.5,2533.333333333333,0.0,0.0,4500.0,0.0,2033.3333333333333,6100.0,1.0,0.0,0.0,0.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,7.5,285.0,0.0,0.0,0.0,1.0,1.0,1641.3466666666666,-2.2737367544323206e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,2,4800.0,6000.0,7.5,2263.157894736842,0.0,0.0,4800.0,0.0,2000.0,6000.0,1.0,0.0,0.0,263.15789473684214,0.0,5250.0,1.0,0.0,0.0,0.0,0.0,7.5,277.5,0.0,0.0,0.0,1.0,1.0,1466.3,-5.115907697472721e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,3,4700.0,5900.0,7.5,6666.666666666666,0.0,0.0,5000.0,0.0,1966.6666666666667,5900.0,1.0,0.0,0.0,5000.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,7.5,270.0,0.0,0.0,0.0,1.0,1.0,4319.333333333333,-9.094947017729282e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,4,4800.0,5800.0,10.0,0.0,0.0,0.0,5200.0,0.0,1933.3333333333333,5800.0,1.0,0.0,0.0,0.0,1533.333333333333,8385.964912280702,0.0,1.0,0.0,0.0,0.0,10.0,260.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.2737367544323206e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,5,5200.0,6000.0,12.5,1679.9999999999975,160.0,0.0,5000.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,360.0000000000025,8007.017543859647,-2.220446049250313e-15,1.0000000000000022,0.0,0.0,0.0,12.5,247.5,0.0,0.0,0.0,1.0,1.0,1088.4719999999984,0.0,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,6,6200.0,6500.0,20.0,0.0,960.0,0.0,4600.0,0.0,2166.6666666666665,6500.0,1.0,0.0,0.0,0.0,2806.666666666666,5052.6315789473665,0.0,1.0,0.0,0.0,0.0,20.0,227.5,0.0,0.0,0.0,1.0,1.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,7,7000.0,7000.0,25.0,0.0,2400.0,0.0,4000.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,2933.333333333332,1964.9122807017538,0.0,1.0,0.0,0.0,0.0,25.0,202.5,0.0,0.0,0.0,1.0,1.0,0.0,-1.3642420526593924e-12,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,8,7600.0,6800.0,27.5,-2.9529004889244164e-13,4400.0,0.0,3600.0,0.0,2266.6666666666665,6800.0,1.0,0.0,0.0,0.0,1866.6666666666663,-0.0,-2.220446049250313e-16,1.0000000000000002,0.0,0.0,0.0,27.5,175.0,0.0,0.0,0.0,1.0,1.0,-1.9131842267741294e-13,-4.547473508864641e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,9,8100.0,6000.0,27.5,900.0000000000003,6000.0,0.0,3200.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,-2.9529004889244164e-13,0.0,1.0,-0.0,0.0,0.0,0.0,27.5,147.5,0.0,0.0,0.0,1.0,1.0,583.1100000000002,0.0,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,10,8300.0,5200.0,22.5,0.0,7040.0,0.0,3000.0,0.0,1733.3333333333333,5200.0,1.0,0.0,0.0,6.66666666666606,0.0,6.333333333332757,1.0,0.0,0.0,0.0,0.0,22.5,125.0,0.0,0.0,0.0,1.0,1.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,11,8200.0,4800.0,17.5,0.0,7600.0,0.0,2800.0000000000005,0.0,1600.0,4800.0,1.0,0.0,0.0,600.0,0.0,576.3333333333328,1.0,0.0,0.0,0.0,0.0,17.5,107.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H1,12,8000.0,4600.0,15.0,0.0,7200.0,0.0,3000.0,0.0,1533.3333333333333,4600.0,1.0,0.0,0.0,666.6666666666661,0.0,1209.6666666666656,1.0,0.0,0.0,0.0,0.0,15.0,92.5,0.0,0.0,0.0,1.0,1.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
