scenario_id,hour,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,is_battery_charging,is_battery_discharging,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,is_fuel_cell_on,is_electrolyzer_on,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw,hydrogen_balance_residual_kg,fuel_cell_conversion_residual_kw,case_label,study_id,study_title,base_scenario_id,x_label,x_value
R0,0,5200.0,6200.0,15.0,6746.666666666666,0.0,0.0,2520.0,0.0,2066.6666666666665,6200.0,1.0,0.0,0.0,0.0,0.0,5000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538453,0.0,323.46153846153845,0.0,0.0,0.0,1.0,1.0,4371.165333333333,-4.547473508864641e-13,0.0,1.4210854715202004e-14,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,1,5000.0,6100.0,15.0,6333.333333333333,0.0,0.0,2700.0,0.0,2033.3333333333333,6100.0,1.0,0.0,0.0,0.0,0.0,5000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,346.9230769230769,0.0,0.0,0.0,1.0,1.0,4103.366666666667,-1.1368683772161603e-12,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,2,4800.0,6000.0,15.0,6183.1578947368425,0.0,0.0,2880.0,0.0,2000.0,6000.0,1.0,0.0,0.0,263.15789473684214,0.0,5250.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,370.38461538461536,0.0,0.0,0.0,1.0,1.0,4006.0680000000007,1.3642420526593924e-12,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,3,4700.0,5900.0,15.0,10666.666666666666,0.0,0.0,3000.0,0.0,1966.6666666666667,5900.0,1.0,0.0,0.0,5000.0,0.0,10000.0,1.0,0.0,2000.0,38.46153846153847,23.461538461538467,0.0,393.8461538461538,0.0,0.0,0.0,1.0,1.0,6910.933333333333,-9.094947017729282e-13,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,4,4800.0,5800.0,20.0,3613.333333333333,0.0,0.0,3120.0,0.0,1933.3333333333333,5800.0,1.0,0.0,0.0,0.0,-0.0,10000.0,1.0,-0.0,0.0,0.0,0.0,20.0,373.8461538461538,0.0,0.0,0.0,1.0,1.0,2341.078666666667,-2.2737367544323206e-13,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,5,5200.0,6000.0,25.0,4104.0,96.0,0.0,3000.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,25.0,348.8461538461538,0.0,0.0,0.0,1.0,1.0,2658.9816,0.0,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,6,6200.0,6500.0,40.0,30.66666666666606,576.0,0.0,2760.0,0.0,2166.6666666666665,6500.0,1.0,0.0,0.0,0.0,5000.0,4736.842105263158,0.0,1.0,0.0,0.0,0.0,40.0,308.8461538461538,0.0,0.0,0.0,1.0,1.0,19.86893333333294,-4.547473508864641e-13,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,7,7000.0,7000.0,50.0,993.3333333333312,1440.0,0.0,2400.0,0.0,2333.3333333333335,7000.0,1.0,0.0,0.0,0.0,4500.000000000001,0.0,0.0,1.0,0.0,0.0,0.0,50.0,258.8461538461538,0.0,0.0,0.0,1.0,1.0,643.5806666666654,-1.3642420526593924e-12,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,8,7600.0,6800.0,55.0,5066.666666666666,2640.0,0.0,2160.0,0.0,2266.6666666666665,6800.0,1.0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,55.0,203.8461538461538,0.0,0.0,0.0,1.0,1.0,3282.693333333333,-4.547473508864641e-13,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R0,9,8100.0,6000.0,55.0,4580.0,3600.0,0.0,1920.0,0.0,2000.0,6000.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,148.8461538461538,0.0,0.0,0.0,1.0,1.0,2967.382,0.0,0.0,0.0,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
