case_id,capex_group,capex_multiplier,status,annual_operation_cost_cny,annualized_investment_cost_cny,annual_total_cost_cny,annual_grid_cost_cny,annual_gas_cost_cny,annual_carbon_cost_cny,annual_grid_purchase_kwh,annual_carbon_emission_kg,annual_renewable_available_kwh,annual_renewable_used_kwh,annual_renewable_consumption_rate,annual_h2_external_supply_kg
WIND_050,WIND,0.5,optimal,1397559.4592553666,10170645.666383728,11568205.125639096,551042.3949744186,10780.834072759537,59780.755035785696,1466681.1543647114,958024.9204452833,100031580.84521487,95160434.13764694,0.9513039115606364,0.0
WIND_075,WIND,0.75,optimal,1445784.2199851985,13650965.2222974,15096749.442282598,793545.2640158456,10780.834072759537,86184.70700151606,2119776.162639235,1381165.1763063476,97145061.33338208,94535305.49407907,0.9731354759214483,0.0
WIND_100,WIND,1.0,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
WIND_125,WIND,1.25,optimal,1654514.9946301805,20092530.99161373,21747045.98624391,1110355.5338971547,10780.834072759537,115596.73650345806,2847275.2005057037,1852511.8029400327,94962259.62102461,93892310.75964183,0.9887329043595557,0.0
WIND_150,WIND,1.5,optimal,1835131.065811444,23009963.945566602,24845095.011378046,1279731.1345645091,10780.834072759537,119541.71371450763,2944853.2042695805,1915732.591578648,94882721.09881191,93852460.58896741,0.9891417478555282,0.0
PV_050,PV,0.5,optimal,1503491.3667907931,15857901.591113085,17361392.957903877,759920.2473997432,53904.17036379768,67292.23085025087,1604553.3766920092,1078401.1354206873,98448612.22137578,95554503.55800426,0.9706028495672067,0.0
PV_075,PV,0.75,optimal,1534386.9810673653,16441011.373037273,17975398.354104638,946326.8103651737,10780.834072759537,98749.7215801578,2430568.5891236593,1582527.5894256055,96026079.69835798,94267351.26687181,0.9816848877199738,0.0
PV_100,PV,1.0,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
PV_125,PV,1.25,optimal,1451545.858602521,17492727.267772224,18944273.126374744,814648.4407680142,10780.834072759537,88021.0505531549,2165197.6513848966,1410593.7588646617,96928894.02634056,94488798.10387273,0.974825918040448,0.0
PV_150,PV,1.5,optimal,1315017.907245248,18027201.097999394,19342219.005244642,680991.9245217851,10780.834072759537,78463.86682022692,1928803.1526659592,1257433.7631446621,97219518.41572168,94738466.89441672,0.9744799031949972,0.0
BATTERY_050,BATTERY,0.5,optimal,1332115.3133736472,16956443.39236979,18288558.705743436,766358.671180021,10780.834072759537,95147.15057760435,2341459.9154760204,1524794.0797693005,95832439.64439043,94457102.17635906,0.9856485186734795,0.0
BATTERY_075,BATTERY,0.75,optimal,1444801.0528064673,16967932.00546564,18412733.05827211,847701.7390284044,10780.834072759537,92263.02495296714,2270121.804759415,1478574.1178360118,96328563.4246101,94441696.6159414,0.9804121774311997,0.0
BATTERY_100,BATTERY,1.0,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
BATTERY_125,BATTERY,1.25,optimal,1499957.9130961979,17027791.077816624,18527748.99091282,879727.6934303492,10780.834072759537,91699.65030036816,2256186.876613873,1469545.6778905152,96612846.06014785,94420515.87892395,0.9773080882033117,0.0
BATTERY_150,BATTERY,1.5,optimal,1737609.4418968419,16799496.377101313,18537105.818998154,1088114.133350848,10780.834072759537,101637.36914722528,2501993.81418677,1628803.992743995,96609877.23907332,94122606.18581323,0.9742544849000789,0.0
ELECTROLYZER_050,ELECTROLYZER,0.5,optimal,1483895.0211872489,16470165.102797844,17954060.123985093,902793.5258195442,10780.834072759537,96752.94796974864,2381178.9038483226,1550528.0123357153,96063230.92379184,94277446.02657916,0.9814103181827252,0.0
ELECTROLYZER_075,ELECTROLYZER,0.75,optimal,1497875.5012638094,16725223.03851286,18223098.539776668,877800.4357221193,10780.834072759537,91648.06162853318,2254910.8439918375,1468718.9363546984,96612520.825773,94422386.4906962,0.9773307401943647,0.0
ELECTROLYZER_100,ELECTROLYZER,1.0,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
ELECTROLYZER_125,ELECTROLYZER,1.25,optimal,1497294.7515625064,17234740.12599954,18732034.877562046,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
ELECTROLYZER_150,ELECTROLYZER,1.5,optimal,1497294.7515625064,17489190.92595222,18986485.677514724,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
H2_STORAGE_050,H2_STORAGE,0.5,optimal,1497294.7515625064,16928583.43635257,18425878.187915076,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
H2_STORAGE_075,H2_STORAGE,0.75,optimal,1497294.7515625064,16954436.381199718,18451731.132762223,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
H2_STORAGE_100,H2_STORAGE,1.0,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
H2_STORAGE_125,H2_STORAGE,1.25,optimal,1497875.5012638094,17005470.32590231,18503345.827166118,877800.4357221193,10780.834072759537,91648.06162853318,2254910.8439918375,1468718.9363546984,96612520.825773,94422386.4906962,0.9773307401943647,0.0
H2_STORAGE_150,H2_STORAGE,1.5,optimal,1517401.3784894457,17009670.897958934,18527072.27644838,920279.2498264948,10780.834072759537,95928.38030363922,2360783.433222578,1537313.786917295,96220449.03284252,94331090.70141937,0.9803642744300823,0.0
FUEL_CELL_050,FUEL_CELL,0.5,optimal,1497294.7515625067,16980289.32604686,18477584.077609368,876527.1101544359,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
FUEL_CELL_075,FUEL_CELL,0.75,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
FUEL_CELL_100,FUEL_CELL,1.0,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
FUEL_CELL_125,FUEL_CELL,1.25,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
FUEL_CELL_150,FUEL_CELL,1.5,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
HEAT_PUMP_050,HEAT_PUMP,0.5,optimal,1497294.7515625064,16796282.792772632,18293577.544335138,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
HEAT_PUMP_075,HEAT_PUMP,0.75,optimal,1497294.7515625064,16888286.05940975,18385580.810972255,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
HEAT_PUMP_100,HEAT_PUMP,1.0,optimal,1497294.7515625064,16980289.32604686,18477584.077609368,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
HEAT_PUMP_125,HEAT_PUMP,1.25,optimal,1497294.7515625064,17072292.59268398,18569587.344246484,876527.110154436,10780.834072759537,91522.97503791832,2251816.8591202293,1466714.3435563834,96624115.0676251,94425140.26899065,0.9772419670069378,0.0
HEAT_PUMP_150,HEAT_PUMP,1.5,optimal,1533679.53240204,17126869.144401643,18660548.676803682,874171.1203712213,53904.17036379768,93158.2890195661,2244343.7192908595,1492921.298390482,96527803.99462083,94389839.58771595,0.9778513100015823,0.0
