case_id,carbon_cap_ratio,capacity_variable,capacity_name,unit,capacity_value
CARBON_CAP_100,1.0,wind_capacity_kw,风电装机,kW,21905.654079710865
CARBON_CAP_100,1.0,pv_capacity_kw,光伏装机,kW,5804.706322026937
CARBON_CAP_100,1.0,battery_power_capacity_kw,电池功率,kW,508.24845609534833
CARBON_CAP_100,1.0,battery_energy_capacity_kwh,电池容量,kWh,923.482457521787
CARBON_CAP_100,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,2903.9549324276973
CARBON_CAP_100,1.0,h2_storage_capacity_kg,储氢容量,kg,406.12483748151215
CARBON_CAP_100,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_100,1.0,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
CARBON_CAP_090,0.9,wind_capacity_kw,风电装机,kW,21912.19731172287
CARBON_CAP_090,0.9,pv_capacity_kw,光伏装机,kW,6066.265470188681
CARBON_CAP_090,0.9,battery_power_capacity_kw,电池功率,kW,563.901344138565
CARBON_CAP_090,0.9,battery_energy_capacity_kwh,电池容量,kWh,1124.0786847177308
CARBON_CAP_090,0.9,electrolyzer_power_capacity_kw,电解槽功率,kW,2832.091622254852
CARBON_CAP_090,0.9,h2_storage_capacity_kg,储氢容量,kg,316.828289382668
CARBON_CAP_090,0.9,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_090,0.9,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
CARBON_CAP_080,0.8,wind_capacity_kw,风电装机,kW,22109.39738750103
CARBON_CAP_080,0.8,pv_capacity_kw,光伏装机,kW,5946.595986288622
CARBON_CAP_080,0.8,battery_power_capacity_kw,电池功率,kW,694.1938745160078
CARBON_CAP_080,0.8,battery_energy_capacity_kwh,电池容量,kWh,1646.8434965378117
CARBON_CAP_080,0.8,electrolyzer_power_capacity_kw,电解槽功率,kW,2770.5048192345075
CARBON_CAP_080,0.8,h2_storage_capacity_kg,储氢容量,kg,316.66426346274955
CARBON_CAP_080,0.8,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_080,0.8,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
CARBON_CAP_070,0.7,wind_capacity_kw,风电装机,kW,22085.71840201928
CARBON_CAP_070,0.7,pv_capacity_kw,光伏装机,kW,6255.815443519702
CARBON_CAP_070,0.7,battery_power_capacity_kw,电池功率,kW,756.4201522147305
CARBON_CAP_070,0.7,battery_energy_capacity_kwh,电池容量,kWh,1889.6284222044674
CARBON_CAP_070,0.7,electrolyzer_power_capacity_kw,电解槽功率,kW,2696.4390487949095
CARBON_CAP_070,0.7,h2_storage_capacity_kg,储氢容量,kg,294.4679750760841
CARBON_CAP_070,0.7,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_070,0.7,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
CARBON_CAP_060,0.6,wind_capacity_kw,风电装机,kW,21960.372903782332
CARBON_CAP_060,0.6,pv_capacity_kw,光伏装机,kW,6768.501780390512
CARBON_CAP_060,0.6,battery_power_capacity_kw,电池功率,kW,773.5795136302568
CARBON_CAP_060,0.6,battery_energy_capacity_kwh,电池容量,kWh,1966.9566004505286
CARBON_CAP_060,0.6,electrolyzer_power_capacity_kw,电解槽功率,kW,2616.6069382609085
CARBON_CAP_060,0.6,h2_storage_capacity_kg,储氢容量,kg,281.3088359770729
CARBON_CAP_060,0.6,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_060,0.6,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
CARBON_CAP_050,0.5,wind_capacity_kw,风电装机,kW,21835.027405545396
CARBON_CAP_050,0.5,pv_capacity_kw,光伏装机,kW,7281.1881172613175
CARBON_CAP_050,0.5,battery_power_capacity_kw,电池功率,kW,790.7388750457903
CARBON_CAP_050,0.5,battery_energy_capacity_kwh,电池容量,kWh,2044.2847786965908
CARBON_CAP_050,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2536.7748277269075
CARBON_CAP_050,0.5,h2_storage_capacity_kg,储氢容量,kg,268.14969687806166
CARBON_CAP_050,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_050,0.5,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
CARBON_CAP_040,0.4,wind_capacity_kw,风电装机,kW,21709.68190730845
CARBON_CAP_040,0.4,pv_capacity_kw,光伏装机,kW,7793.874454132121
CARBON_CAP_040,0.4,battery_power_capacity_kw,电池功率,kW,807.8982364613203
CARBON_CAP_040,0.4,battery_energy_capacity_kwh,电池容量,kWh,2121.6129569426516
CARBON_CAP_040,0.4,electrolyzer_power_capacity_kw,电解槽功率,kW,2456.9427171929065
CARBON_CAP_040,0.4,h2_storage_capacity_kg,储氢容量,kg,254.99055777905053
CARBON_CAP_040,0.4,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
CARBON_CAP_040,0.4,heat_pump_power_capacity_kw,热泵功率,kW,3150.0
