robust_day_id,typical_day_id,uncertainty_case_id,weight_days,total_cost_cny,grid_purchase_kwh,renewable_available_kwh,renewable_used_kwh,renewable_curtailment_kwh,renewable_consumption_rate,carbon_emission_kg,heat_pump_heat_kwh,gas_boiler_heat_kwh,h2_production_kg,h2_external_supply_kg,fuel_cell_generation_kwh,weighted_total_cost_cny,weighted_grid_purchase_kwh,weighted_carbon_emission_kg,weighted_heat_pump_heat_kwh,weighted_h2_production_kg
TD_SUMMER__NORMAL,TD_SUMMER,NORMAL,120.0,12201.916061030364,0.0,376129.16061030363,262009.99999999997,114119.16061030363,0.6965958171785059,0.0,86640.0,0.0,790.0,0.0,0.0,1464229.9273236438,0.0,0.0,10396800.0,94800.0
TD_SUMMER__PV_LOW,TD_SUMMER,PV_LOW,120.0,10289.438043771492,0.0,356980.4124272126,262035.19548273832,94945.21694447422,0.7340324184766486,0.0,86640.0,0.0,790.0,0.0,0.0,1234732.565252579,0.0,0.0,10396800.0,94800.0
TD_SUMMER__WIND_LOW,TD_SUMMER,WIND_LOW,120.0,15055.174573702781,19244.242037109867,298054.16061030363,242792.31442045784,55261.846189845826,0.814591260606159,12468.344415843485,86640.0,0.0,790.0,0.0,0.0,1806620.9488443336,2309309.044453184,1496201.3299012182,10396800.0,94800.0
TD_SUMMER__LOAD_HIGH,TD_SUMMER,LOAD_HIGH,120.0,11615.288224069984,3876.8311504649155,376129.16061030363,280263.9620736426,95865.19853666105,0.7451269176228956,2511.798902386219,95304.0,0.0,790.0,0.0,0.0,1393834.586888398,465219.73805578984,301415.8682863463,11436480.0,94800.0
TD_SUMMER__H2_HIGH,TD_SUMMER,H2_HIGH,120.0,11543.63240038523,795.4268069954978,376129.16061030363,273590.3251333105,102538.83547699312,0.7273839781243906,515.3570282523831,86640.0,0.0,1027.0,0.0,0.0,1385235.8880462276,95451.21683945974,61842.84339028597,10396800.0,123240.0
TD_SUMMER__EXTREME,TD_SUMMER,EXTREME,120.0,9391.186650079511,19349.88079689497,278905.4124272126,278558.9124272126,346.5,0.9987576433279493,12536.787768308252,99636.0,0.0,1027.0000000000002,0.0,0.0,1126942.3980095414,2321985.6956273965,1504414.5321969902,11956320.0,123240.00000000003
TD_WINTER__NORMAL,TD_WINTER,NORMAL,120.0,10261.916061030364,0.0,376129.16061030363,281410.0,94719.16061030365,0.7481738441746627,0.0,194940.0,0.0,790.0,0.0,0.0,1231429.9273236438,0.0,0.0,23392800.0,94800.0
TD_WINTER__PV_LOW,TD_WINTER,PV_LOW,120.0,10063.559987846204,4107.283040428593,356980.4124272125,277315.31470094057,79665.09772627197,0.7768362213920758,2661.1086818936856,194940.0,0.0,790.0000000000001,0.0,0.0,1207627.1985415444,492873.9648514312,319333.04182724224,23392800.0,94800.00000000001
TD_WINTER__WIND_LOW,TD_WINTER,WIND_LOW,120.0,15290.850473097255,21362.675813218575,298054.16061030363,260073.88064434912,37980.27996595453,0.8725725556449704,13840.877659384314,194940.0,0.0,790.0,0.0,0.0,1834902.0567716705,2563521.097586229,1660905.3191261177,23392800.0,94800.0
TD_WINTER__LOAD_HIGH,TD_WINTER,LOAD_HIGH,120.0,10881.69903292661,4011.201271224785,376129.16061030363,300961.0919528827,75168.06865742091,0.8001535734813703,2964.3275786930863,212908.5,1525.5,790.0,0.0,0.0,1305803.8839511932,481344.15254697425,355719.3094431703,25549020.0,94800.0
TD_WINTER__H2_HIGH,TD_WINTER,H2_HIGH,120.0,9847.935960566194,1380.4043434694177,376129.16061030363,292405.3475968366,83723.81301346702,0.7774067480500115,894.3639741338358,194940.0,0.0,1027.0,0.0,0.0,1181752.3152679433,165648.52121633012,107323.6768960603,23392800.0,123240.0
TD_WINTER__EXTREME,TD_WINTER,EXTREME,120.0,21939.32734365415,40711.97853826413,278905.4124272126,278905.4124272126,0.0,1.0,27418.719466369905,219834.0,4347.0,1027.0,0.0,0.0,2632719.281238498,4885437.424591695,3290246.3359643887,26380080.0,123240.0
TD_TRANSITION__NORMAL,TD_TRANSITION,NORMAL,125.0,13262.916061030364,0.0,376129.16061030363,251400.0,124729.16061030365,0.668387422001742,0.0,129960.0,0.0,790.0,0.0,0.0,1657864.5076287955,0.0,0.0,16245000.0,98750.0
TD_TRANSITION__PV_LOW,TD_TRANSITION,PV_LOW,125.0,15289.316787855674,5703.0499944068415,356980.4124272126,245736.10420453,111244.30822268252,0.6883741954739183,3695.0060913761927,129960.0,0.0,790.0,0.0,0.0,1911164.5984819592,712881.2493008552,461875.7614220241,16245000.0,98750.0
