stochastic_day_id,typical_day_id,uncertainty_case_id,weight_days,total_cost_cny,grid_purchase_kwh,renewable_available_kwh,renewable_used_kwh,renewable_curtailment_kwh,renewable_consumption_rate,carbon_emission_kg,heat_pump_heat_kwh,gas_boiler_heat_kwh,h2_production_kg,h2_external_supply_kg,fuel_cell_generation_kwh,weighted_total_cost_cny,weighted_grid_purchase_kwh,weighted_carbon_emission_kg,weighted_heat_pump_heat_kwh,weighted_h2_production_kg
TD_SUMMER__NORMAL,TD_SUMMER,NORMAL,60.0,2879.510018646098,450.2402109430619,279621.80136806105,261613.26017246686,18008.541195594204,0.9355967914251083,291.71063267000983,86640.0,0.0,790.0,0.0,0.0,172770.6011187659,27014.412656583714,17502.63796020059,5198400.0,47400.0
TD_SUMMER__PV_LOW,TD_SUMMER,PV_LOW,14.399999999999999,2191.2824579994053,1542.0639568811846,267337.1019911835,260548.1866182337,6788.9153729497675,0.9746054127078341,999.1032376633195,86640.0,0.0,790.0,0.0,0.0,31554.467395191434,22205.720979089056,14387.0866223518,1247615.9999999998,11375.999999999998
TD_SUMMER__WIND_LOW,TD_SUMMER,WIND_LOW,14.399999999999999,21084.87891528985,42163.400260042734,219953.60050677712,219953.60050677712,0.0,1.0,27317.667028481686,86640.0,0.0,789.9999999999999,0.0,0.0,303622.2563801738,607152.9637446153,393374.40521013626,1247615.9999999998,11375.999999999996
TD_SUMMER__LOAD_HIGH,TD_SUMMER,LOAD_HIGH,12.0,4558.7040881405155,6393.989025026064,279621.80136806105,277789.2615500888,1832.5398179722233,0.9934463628765481,4142.665489314388,95304.0,0.0,790.0,0.0,0.0,54704.449057686186,76727.86830031277,49711.98587177265,1143648.0,9480.0
TD_SUMMER__H2_HIGH,TD_SUMMER,H2_HIGH,9.6,1886.6547163698287,450.2402109430619,279621.80136806105,273964.0103641718,5657.791003889251,0.9797662736731962,291.71063267000983,86640.0,0.0,1027.0,0.0,0.0,18111.885277150355,4322.3060250533945,2800.4220736320945,831744.0,9859.199999999999
TD_SUMMER__EXTREME,TD_SUMMER,EXTREME,9.6,48921.04651731518,90309.09963692033,207668.90112989955,207668.90112989955,0.0,1.0,58511.26565476069,99636.0,0.0,1026.9999999999998,0.0,0.0,469642.04656622576,866967.3565144351,561708.1502857025,956505.6,9859.199999999997
TD_WINTER__NORMAL,TD_WINTER,NORMAL,60.0,2756.595654320433,2585.240210943066,279621.80136806105,278882.5103641719,739.2910038891987,0.9973561038507293,1691.1483837791518,194872.5,67.5,790.0000000000014,0.0,0.0,165395.739259226,155114.41265658394,101468.9030267491,11692350.0,47400.00000000008
TD_WINTER__PV_LOW,TD_WINTER,PV_LOW,14.399999999999999,6901.264866113366,14920.560469106906,267337.1019911835,266600.69048941793,736.4115017655458,0.997245382342067,9683.202379043503,194872.5,67.5,790.0,0.0,0.0,99378.21407203247,214856.07075513943,139438.11425822644,2806163.9999999995,11375.999999999998
TD_WINTER__WIND_LOW,TD_WINTER,WIND_LOW,14.399999999999999,33237.32658753475,61540.90026004274,219953.60050677712,219953.60050677712,0.0,1.0,39888.52052959083,194872.5,67.5,790.0,0.0,0.0,478617.50286050036,886188.9637446154,574394.6956261079,2806163.9999999995,11375.999999999998
TD_WINTER__LOAD_HIGH,TD_WINTER,LOAD_HIGH,12.0,12934.190766209415,24542.1993987588,279621.80136806105,279621.80136806105,0.0,1.0,16897.040058778806,210276.0,4158.0,789.9999999999999,0.0,0.0,155210.28919451297,294506.3927851056,202764.4807053457,2523312.0,9479.999999999998
TD_WINTER__H2_HIGH,TD_WINTER,H2_HIGH,9.6,7180.830948465132,14938.880312555175,279621.80136806105,278882.5103641719,739.2910038891987,0.9973561038507293,9695.071805613636,194872.5,67.5,1026.9999999999998,0.0,0.0,68935.97710526526,143413.25100052968,93072.6893338909,1870776.0,9859.199999999997
TD_WINTER__EXTREME,TD_WINTER,EXTREME,9.6,64146.45768964561,110697.84963692032,207668.90112989955,207668.90112989955,0.0,1.0,73702.11504063025,215912.25,8268.75,1027.0,0.0,0.0,615805.9938205979,1062699.356514435,707540.3043900504,2072757.5999999999,9859.199999999999
TD_TRANSITION__NORMAL,TD_TRANSITION,NORMAL,62.5,3612.3301929614813,0.0,279621.8013680611,251401.57740971958,28220.223958341492,0.8990771684458332,0.0,129960.0,0.0,790.0000000000001,0.0,0.0,225770.6370600926,0.0,0.0,8122500.0,49375.00000000001
TD_TRANSITION__PV_LOW,TD_TRANSITION,PV_LOW,15.0,2384.259780455954,0.0,267337.1019911835,251405.77727012578,15931.3247210577,0.9404073560968612,0.0,129960.0,0.0,790.0,0.0,0.0,35763.89670683931,0.0,0.0,1949400.0,11850.0
TD_TRANSITION__WIND_LOW,TD_TRANSITION,WIND_LOW,15.0,14429.081572302437,31553.400260042738,219953.60050677712,219953.60050677712,0.0,1.0,20443.44802848169,129960.0,0.0,790.0,0.0,0.0,216436.22358453655,473301.00390064105,306651.72042722534,1949400.0,11850.0
TD_TRANSITION__LOAD_HIGH,TD_TRANSITION,LOAD_HIGH,12.5,2722.148199321813,1613.2402109430668,279621.80136806105,270872.26017246686,8749.541195594193,0.9687093740445606,1045.2183326700128,142956.0,0.0,790.0,0.0,0.0,34026.852491522666,20165.502636788337,13065.229158375161,1786950.0,9875.0
TD_TRANSITION__H2_HIGH,TD_TRANSITION,H2_HIGH,10.0,2616.9301929614817,0.0,279621.80136806105,263725.5774097196,15896.223958341492,0.9431509850785291,0.0,129960.0,0.0,1027.0,0.0,0.0,26169.301929614816,0.0,0.0,1299600.0,10270.0
TD_TRANSITION__EXTREME,TD_TRANSITION,EXTREME,10.0,40664.95223080464,79360.09963692032,207668.90112989955,207668.90112989955,0.0,1.0,51417.40855476068,149454.0,0.0,1027.0,0.0,0.0,406649.52230804646,793600.9963692032,514174.0855476068,1494540.0,10270.0
