hour,pv_cf,wind_cf,pv_available_kw,wind_available_kw,electric_load_kw,heat_load_kw,hydrogen_load_kg,tou_period,electricity_price_cny_per_kwh,gas_price_cny_per_m3,grid_emission_kgco2_per_kwh,carbon_price_cny_per_tco2,heat_pump_cop,heat_pump_available_ratio,electrolyzer_kwh_per_kg,fuel_cell_kwh_per_kg
0,0.0,0.42,0,4200,5200,6200,15,谷,0.264,3,0.6479,62.4,3,1,52,18
1,0.0,0.45,0,4500,5000,6100,15,谷,0.264,3,0.6479,62.4,3,1,52,18
2,0.0,0.48,0,4800,4800,6000,15,谷,0.264,3,0.6479,62.4,3,1,52,18
3,0.0,0.5,0,5000,4700,5900,15,谷,0.264,3,0.6479,62.4,3,1,52,18
4,0.0,0.52,0,5200,4800,5800,20,平,0.55,3,0.6479,62.4,3,1,52,18
5,0.02,0.5,160,5000,5200,6000,25,平,0.55,3,0.6479,62.4,3,1,52,18
6,0.12,0.46,960,4600,6200,6500,40,峰,0.924,3,0.6479,62.4,3,1,52,18
7,0.3,0.4,2400,4000,7000,7000,50,峰,0.924,3,0.6479,62.4,3,1,52,18
8,0.55,0.36,4400,3600,7600,6800,55,平,0.55,3,0.6479,62.4,3,1,52,18
9,0.75,0.32,6000,3200,8100,6000,55,平,0.55,3,0.6479,62.4,3,1,52,18
10,0.88,0.3,7040,3000,8300,5200,45,平,0.55,3,0.6479,62.4,3,1,52,18
11,0.95,0.28,7600,2800,8200,4800,35,谷,0.264,3,0.6479,62.4,3,1,52,18
12,0.9,0.3,7200,3000,8000,4600,30,谷,0.264,3,0.6479,62.4,3,1,52,18
13,0.78,0.34,6240,3400,7900,4600,30,谷,0.264,3,0.6479,62.4,3,1,52,18
14,0.58,0.38,4640,3800,8000,4800,35,谷,0.264,3,0.6479,62.4,3,1,52,18
15,0.35,0.42,2800,4200,8300,5200,40,谷,0.264,3,0.6479,62.4,3,1,52,18
16,0.12,0.44,960,4400,8600,5700,50,平,0.55,3,0.6479,62.4,3,1,52,18
17,0.02,0.47,160,4700,9000,6400,60,平,0.55,3,0.6479,62.4,3,1,52,18
18,0.0,0.5,0,5000,8800,7000,50,峰,0.924,3,0.6479,62.4,3,1,52,18
19,0.0,0.52,0,5200,8200,7200,35,峰,0.924,3,0.6479,62.4,3,1,52,18
20,0.0,0.55,0,5500,7400,7000,25,峰,0.924,3,0.6479,62.4,3,1,52,18
21,0.0,0.54,0,5400,6500,6800,20,峰,0.924,3,0.6479,62.4,3,1,52,18
22,0.0,0.5,0,5000,5800,6500,15,平,0.55,3,0.6479,62.4,3,1,52,18
23,0.0,0.46,0,4600,5400,6300,15,平,0.55,3,0.6479,62.4,3,1,52,18
