hour,pv_cf,wind_cf,pv_available_kw,wind_available_kw,electric_load_kw,heat_load_kw,hydrogen_load_kg,tou_period,electricity_price_cny_per_kwh,gas_price_cny_per_m3,grid_emission_kgco2_per_kwh,carbon_price_cny_per_tco2,heat_pump_cop,heat_pump_available_ratio,electrolyzer_kwh_per_kg,fuel_cell_kwh_per_kg
0,0.0,0.42,0.0,4830.0,5460.0,8370.0,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
1,0.0,0.45,0.0,5175.0,5250.0,8235.0,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
2,0.0,0.48,0.0,5520.0,5040.0,8100.000000000001,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
3,0.0,0.5,0.0,5750.0,4935.0,7965.000000000001,15.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
4,0.0,0.52,0.0,5979.999999999999,5040.0,7830.000000000001,20.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
5,0.02,0.5,112.0,5750.0,5460.0,8100.000000000001,25.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
6,0.12,0.46,672.0,5290.0,6510.0,8775.0,40.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
7,0.3,0.4,1680.0,4600.0,7350.0,9450.0,50.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
8,0.55,0.36,3080.0,4140.0,7980.0,9180.0,55.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
9,0.75,0.32,4200.0,3679.9999999999995,8505.0,8100.000000000001,55.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
10,0.88,0.3,4928.0,3449.9999999999995,8715.0,7020.000000000001,45.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
11,0.95,0.28,5320.0,3219.9999999999995,8610.0,6480.0,35.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
12,0.9,0.3,5040.0,3449.9999999999995,8400.0,6210.0,30.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
13,0.78,0.34,4368.0,3909.9999999999995,8295.0,6210.0,30.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
14,0.58,0.38,3248.0,4370.0,8400.0,6480.0,35.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
15,0.35,0.42,1959.9999999999998,4830.0,8715.0,7020.000000000001,40.0,谷,0.2772,3.0,0.6479,62.4,3,1,52,18
16,0.12,0.44,672.0,5060.0,9030.0,7695.000000000001,50.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
17,0.02,0.47,112.0,5405.0,9450.0,8640.0,60.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
18,0.0,0.5,0.0,5750.0,9240.0,9450.0,50.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
19,0.0,0.52,0.0,5979.999999999999,8610.0,9720.0,35.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
20,0.0,0.55,0.0,6324.999999999999,7770.0,9450.0,25.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
21,0.0,0.54,0.0,6209.999999999999,6825.0,9180.0,20.0,峰,0.9702000000000001,3.0,0.6479,62.4,3,1,52,18
22,0.0,0.5,0.0,5750.0,6090.0,8775.0,15.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
23,0.0,0.46,0.0,5290.0,5670.0,8505.0,15.0,平,0.5775000000000001,3.0,0.6479,62.4,3,1,52,18
