case_id,capex_group,capex_multiplier,capacity_variable,capacity_name,unit,capacity_value
WIND_050,WIND,0.5,wind_capacity_kw,风电装机,kW,25558.800424436125
WIND_050,WIND,0.5,pv_capacity_kw,光伏装机,kW,3803.7219801661945
WIND_050,WIND,0.5,battery_power_capacity_kw,电池功率,kW,28.165167346999112
WIND_050,WIND,0.5,battery_energy_capacity_kwh,电池容量,kWh,59.29508915157707
WIND_050,WIND,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,3383.7691971004124
WIND_050,WIND,0.5,h2_storage_capacity_kg,储氢容量,kg,554.163906244492
WIND_050,WIND,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_050,WIND,0.5,heat_pump_power_capacity_kw,热泵功率,kW,3060.0
WIND_075,WIND,0.75,wind_capacity_kw,风电装机,kW,24719.906108449097
WIND_075,WIND,0.75,pv_capacity_kw,光伏装机,kW,4093.724396620226
WIND_075,WIND,0.75,battery_power_capacity_kw,电池功率,kW,40.61188715496218
WIND_075,WIND,0.75,battery_energy_capacity_kwh,电池容量,kWh,81.22377430992437
WIND_075,WIND,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,4125.554932055566
WIND_075,WIND,0.75,h2_storage_capacity_kg,储氢容量,kg,522.3212712741226
WIND_075,WIND,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_075,WIND,0.75,heat_pump_power_capacity_kw,热泵功率,kW,3060.0
WIND_100,WIND,1.0,wind_capacity_kw,风电装机,kW,23040.0
WIND_100,WIND,1.0,pv_capacity_kw,光伏装机,kW,6399.8408502238135
WIND_100,WIND,1.0,battery_power_capacity_kw,电池功率,kW,124.41909797314221
WIND_100,WIND,1.0,battery_energy_capacity_kwh,电池容量,kWh,261.934943101352
WIND_100,WIND,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,3319.2000000000007
WIND_100,WIND,1.0,h2_storage_capacity_kg,储氢容量,kg,321.439819165333
WIND_100,WIND,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_100,WIND,1.0,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
WIND_125,WIND,1.25,wind_capacity_kw,风电装机,kW,21974.247802899838
WIND_125,WIND,1.25,pv_capacity_kw,光伏装机,kW,7900.594853623722
WIND_125,WIND,1.25,battery_power_capacity_kw,电池功率,kW,434.09163556460254
WIND_125,WIND,1.25,battery_energy_capacity_kwh,电池容量,kWh,1348.887216229923
WIND_125,WIND,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,2963.0322658853165
WIND_125,WIND,1.25,h2_storage_capacity_kg,储氢容量,kg,236.94589146203015
WIND_125,WIND,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_125,WIND,1.25,heat_pump_power_capacity_kw,热泵功率,kW,2816.6088575079157
WIND_150,WIND,1.5,wind_capacity_kw,风电装机,kW,21499.054016467777
WIND_150,WIND,1.5,pv_capacity_kw,光伏装机,kW,8388.65764846989
WIND_150,WIND,1.5,battery_power_capacity_kw,电池功率,kW,647.67145929074
WIND_150,WIND,1.5,battery_energy_capacity_kwh,电池容量,kWh,1511.3882832615373
WIND_150,WIND,1.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2881.836629272505
WIND_150,WIND,1.5,h2_storage_capacity_kg,储氢容量,kg,250.85356007007462
WIND_150,WIND,1.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
WIND_150,WIND,1.5,heat_pump_power_capacity_kw,热泵功率,kW,2700.0
PV_050,PV,0.5,wind_capacity_kw,风电装机,kW,21829.90240523641
PV_050,PV,0.5,pv_capacity_kw,光伏装机,kW,8292.346417034849
PV_050,PV,0.5,battery_power_capacity_kw,电池功率,kW,605.0487973817944
PV_050,PV,0.5,battery_energy_capacity_kwh,电池容量,kWh,1726.1673330688268
PV_050,PV,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2874.8683030355332
PV_050,PV,0.5,h2_storage_capacity_kg,储氢容量,kg,254.45189847552004
PV_050,PV,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_050,PV,0.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
PV_075,PV,0.75,wind_capacity_kw,风电装机,kW,22243.08828060581
PV_075,PV,0.75,pv_capacity_kw,光伏装机,kW,7713.933556083121
PV_075,PV,0.75,battery_power_capacity_kw,电池功率,kW,398.45585969709464
PV_075,PV,0.75,battery_energy_capacity_kwh,电池容量,kWh,1172.9272096817517
PV_075,PV,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,2856.1149300558627
PV_075,PV,0.75,h2_storage_capacity_kg,储氢容量,kg,242.90350309812501
PV_075,PV,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_075,PV,0.75,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
PV_100,PV,1.0,wind_capacity_kw,风电装机,kW,23040.0
PV_100,PV,1.0,pv_capacity_kw,光伏装机,kW,6399.8408502238135
PV_100,PV,1.0,battery_power_capacity_kw,电池功率,kW,124.41909797314221
PV_100,PV,1.0,battery_energy_capacity_kwh,电池容量,kWh,261.934943101352
PV_100,PV,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,3319.2000000000007
PV_100,PV,1.0,h2_storage_capacity_kg,储氢容量,kg,321.439819165333
PV_100,PV,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_100,PV,1.0,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
PV_125,PV,1.25,wind_capacity_kw,风电装机,kW,24563.733380787155
PV_125,PV,1.25,pv_capacity_kw,光伏装机,kW,3989.212790109507
PV_125,PV,1.25,battery_power_capacity_kw,电池功率,kW,-0.0
PV_125,PV,1.25,battery_energy_capacity_kwh,电池容量,kWh,-0.0
PV_125,PV,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,4201.650946195768
PV_125,PV,1.25,h2_storage_capacity_kg,储氢容量,kg,508.6567603097815
PV_125,PV,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_125,PV,1.25,heat_pump_power_capacity_kw,热泵功率,kW,3041.8666903935773
PV_150,PV,1.5,wind_capacity_kw,风电装机,kW,24410.03447588343
PV_150,PV,1.5,pv_capacity_kw,光伏装机,kW,3733.29724612182
PV_150,PV,1.5,battery_power_capacity_kw,电池功率,kW,8.557962936904229
PV_150,PV,1.5,battery_energy_capacity_kwh,电池容量,kWh,17.115925873808457
PV_150,PV,1.5,electrolyzer_power_capacity_kw,电解槽功率,kW,4118.782344660266
PV_150,PV,1.5,h2_storage_capacity_kg,储氢容量,kg,502.4672483887505
PV_150,PV,1.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
PV_150,PV,1.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
BATTERY_050,BATTERY,0.5,wind_capacity_kw,风电装机,kW,22852.835371681085
BATTERY_050,BATTERY,0.5,pv_capacity_kw,光伏装机,kW,6831.353299865313
BATTERY_050,BATTERY,0.5,battery_power_capacity_kw,电池功率,kW,752.5403093125842
BATTERY_050,BATTERY,0.5,battery_energy_capacity_kwh,电池容量,kWh,2176.6030499536614
BATTERY_050,BATTERY,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2923.1626218277793
BATTERY_050,BATTERY,0.5,h2_storage_capacity_kg,储氢容量,kg,277.4709665552087
BATTERY_050,BATTERY,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_050,BATTERY,0.5,heat_pump_power_capacity_kw,热泵功率,kW,2835.0
BATTERY_075,BATTERY,0.75,wind_capacity_kw,风电装机,kW,22953.325337029146
BATTERY_075,BATTERY,0.75,pv_capacity_kw,光伏装机,kW,6450.079156879509
BATTERY_075,BATTERY,0.75,battery_power_capacity_kw,电池功率,kW,712.9355084587132
BATTERY_075,BATTERY,0.75,battery_energy_capacity_kwh,电池容量,kWh,960.8423082376565
BATTERY_075,BATTERY,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,3277.5961617739904
BATTERY_075,BATTERY,0.75,h2_storage_capacity_kg,储氢容量,kg,303.01035461311676
BATTERY_075,BATTERY,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_075,BATTERY,0.75,heat_pump_power_capacity_kw,热泵功率,kW,2847.461809082026
BATTERY_100,BATTERY,1.0,wind_capacity_kw,风电装机,kW,23040.0
BATTERY_100,BATTERY,1.0,pv_capacity_kw,光伏装机,kW,6399.8408502238135
BATTERY_100,BATTERY,1.0,battery_power_capacity_kw,电池功率,kW,124.41909797314221
BATTERY_100,BATTERY,1.0,battery_energy_capacity_kwh,电池容量,kWh,261.934943101352
BATTERY_100,BATTERY,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,3319.2000000000007
BATTERY_100,BATTERY,1.0,h2_storage_capacity_kg,储氢容量,kg,321.439819165333
BATTERY_100,BATTERY,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_100,BATTERY,1.0,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
BATTERY_125,BATTERY,1.25,wind_capacity_kw,风电装机,kW,23156.249999999993
BATTERY_125,BATTERY,1.25,pv_capacity_kw,光伏装机,kW,6236.536045175466
BATTERY_125,BATTERY,1.25,battery_power_capacity_kw,电池功率,kW,-0.0
BATTERY_125,BATTERY,1.25,battery_energy_capacity_kwh,电池容量,kWh,-0.0
BATTERY_125,BATTERY,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,3375.0
BATTERY_125,BATTERY,1.25,h2_storage_capacity_kg,储氢容量,kg,347.2300964804331
BATTERY_125,BATTERY,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_125,BATTERY,1.25,heat_pump_power_capacity_kw,热泵功率,kW,2925.000000000001
BATTERY_150,BATTERY,1.5,wind_capacity_kw,风电装机,kW,23156.249999999993
BATTERY_150,BATTERY,1.5,pv_capacity_kw,光伏装机,kW,6236.527078230833
BATTERY_150,BATTERY,1.5,battery_power_capacity_kw,电池功率,kW,-0.0
BATTERY_150,BATTERY,1.5,battery_energy_capacity_kwh,电池容量,kWh,-0.0
BATTERY_150,BATTERY,1.5,electrolyzer_power_capacity_kw,电解槽功率,kW,3374.9999999999964
BATTERY_150,BATTERY,1.5,h2_storage_capacity_kg,储氢容量,kg,343.83472967175675
BATTERY_150,BATTERY,1.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
BATTERY_150,BATTERY,1.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
ELECTROLYZER_050,ELECTROLYZER,0.5,wind_capacity_kw,风电装机,kW,23368.26649983105
ELECTROLYZER_050,ELECTROLYZER,0.5,pv_capacity_kw,光伏装机,kW,5688.100582444286
ELECTROLYZER_050,ELECTROLYZER,0.5,battery_power_capacity_kw,电池功率,kW,65.39067018102382
ELECTROLYZER_050,ELECTROLYZER,0.5,battery_energy_capacity_kwh,电池容量,kWh,137.6645688021554
ELECTROLYZER_050,ELECTROLYZER,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,4028.7425797345013
ELECTROLYZER_050,ELECTROLYZER,0.5,h2_storage_capacity_kg,储氢容量,kg,372.69096899663333
ELECTROLYZER_050,ELECTROLYZER,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
ELECTROLYZER_050,ELECTROLYZER,0.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
ELECTROLYZER_075,ELECTROLYZER,0.75,wind_capacity_kw,风电装机,kW,23272.087129814015
ELECTROLYZER_075,ELECTROLYZER,0.75,pv_capacity_kw,光伏装机,kW,5985.14303667677
ELECTROLYZER_075,ELECTROLYZER,0.75,battery_power_capacity_kw,电池功率,kW,72.064498480621
ELECTROLYZER_075,ELECTROLYZER,0.75,battery_energy_capacity_kwh,电池容量,kWh,151.71473364341261
ELECTROLYZER_075,ELECTROLYZER,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,3580.1757029771397
ELECTROLYZER_075,ELECTROLYZER,0.75,h2_storage_capacity_kg,储氢容量,kg,355.79775732917267
ELECTROLYZER_075,ELECTROLYZER,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
ELECTROLYZER_075,ELECTROLYZER,0.75,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
ELECTROLYZER_100,ELECTROLYZER,1.0,wind_capacity_kw,风电装机,kW,23040.0
ELECTROLYZER_100,ELECTROLYZER,1.0,pv_capacity_kw,光伏装机,kW,6399.8408502238135
ELECTROLYZER_100,ELECTROLYZER,1.0,battery_power_capacity_kw,电池功率,kW,124.41909797314221
ELECTROLYZER_100,ELECTROLYZER,1.0,battery_energy_capacity_kwh,电池容量,kWh,261.934943101352
ELECTROLYZER_100,ELECTROLYZER,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,3319.2000000000007
ELECTROLYZER_100,ELECTROLYZER,1.0,h2_storage_capacity_kg,储氢容量,kg,321.439819165333
ELECTROLYZER_100,ELECTROLYZER,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
ELECTROLYZER_100,ELECTROLYZER,1.0,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
ELECTROLYZER_125,ELECTROLYZER,1.25,wind_capacity_kw,风电装机,kW,23040.0
ELECTROLYZER_125,ELECTROLYZER,1.25,pv_capacity_kw,光伏装机,kW,6620.993465284943
ELECTROLYZER_125,ELECTROLYZER,1.25,battery_power_capacity_kw,电池功率,kW,97.88078416580652
ELECTROLYZER_125,ELECTROLYZER,1.25,battery_energy_capacity_kwh,电池容量,kWh,206.0648087701189
ELECTROLYZER_125,ELECTROLYZER,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,3034.659168277466
ELECTROLYZER_125,ELECTROLYZER,1.25,h2_storage_capacity_kg,储氢容量,kg,319.3465015882448
ELECTROLYZER_125,ELECTROLYZER,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
ELECTROLYZER_125,ELECTROLYZER,1.25,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
ELECTROLYZER_150,ELECTROLYZER,1.5,wind_capacity_kw,风电装机,kW,22993.966176590606
ELECTROLYZER_150,ELECTROLYZER,1.5,pv_capacity_kw,光伏装机,kW,6853.443863841713
ELECTROLYZER_150,ELECTROLYZER,1.5,battery_power_capacity_kw,电池功率,kW,90.24161863912923
ELECTROLYZER_150,ELECTROLYZER,1.5,battery_energy_capacity_kwh,电池容量,kWh,214.21068313994965
ELECTROLYZER_150,ELECTROLYZER,1.5,electrolyzer_power_capacity_kw,电解槽功率,kW,2812.4160788474246
ELECTROLYZER_150,ELECTROLYZER,1.5,h2_storage_capacity_kg,储氢容量,kg,310.3007970410219
ELECTROLYZER_150,ELECTROLYZER,1.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
ELECTROLYZER_150,ELECTROLYZER,1.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
H2_STORAGE_050,H2_STORAGE,0.5,wind_capacity_kw,风电装机,kW,23165.822635818127
H2_STORAGE_050,H2_STORAGE,0.5,pv_capacity_kw,光伏装机,kW,6223.508601867599
H2_STORAGE_050,H2_STORAGE,0.5,battery_power_capacity_kw,电池功率,kW,90.21700801591237
H2_STORAGE_050,H2_STORAGE,0.5,battery_energy_capacity_kwh,电池容量,kWh,189.93054319139446
H2_STORAGE_050,H2_STORAGE,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,3379.594865192701
H2_STORAGE_050,H2_STORAGE,0.5,h2_storage_capacity_kg,储氢容量,kg,339.36021232174375
H2_STORAGE_050,H2_STORAGE,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
H2_STORAGE_050,H2_STORAGE,0.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
H2_STORAGE_075,H2_STORAGE,0.75,wind_capacity_kw,风电装机,kW,23156.25
H2_STORAGE_075,H2_STORAGE,0.75,pv_capacity_kw,光伏装机,kW,6237.6072153563055
H2_STORAGE_075,H2_STORAGE,0.75,battery_power_capacity_kw,电池功率,kW,92.73713415724332
H2_STORAGE_075,H2_STORAGE,0.75,battery_energy_capacity_kwh,电池容量,kWh,195.23607190998592
H2_STORAGE_075,H2_STORAGE,0.75,electrolyzer_power_capacity_kw,电解槽功率,kW,3375.0
H2_STORAGE_075,H2_STORAGE,0.75,h2_storage_capacity_kg,储氢容量,kg,338.0019780588386
H2_STORAGE_075,H2_STORAGE,0.75,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
H2_STORAGE_075,H2_STORAGE,0.75,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
H2_STORAGE_100,H2_STORAGE,1.0,wind_capacity_kw,风电装机,kW,23040.0
H2_STORAGE_100,H2_STORAGE,1.0,pv_capacity_kw,光伏装机,kW,6399.8408502238135
H2_STORAGE_100,H2_STORAGE,1.0,battery_power_capacity_kw,电池功率,kW,124.41909797314221
H2_STORAGE_100,H2_STORAGE,1.0,battery_energy_capacity_kwh,电池容量,kWh,261.934943101352
H2_STORAGE_100,H2_STORAGE,1.0,electrolyzer_power_capacity_kw,电解槽功率,kW,3319.2000000000007
H2_STORAGE_100,H2_STORAGE,1.0,h2_storage_capacity_kg,储氢容量,kg,321.439819165333
H2_STORAGE_100,H2_STORAGE,1.0,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
H2_STORAGE_100,H2_STORAGE,1.0,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
H2_STORAGE_125,H2_STORAGE,1.25,wind_capacity_kw,风电装机,kW,23040.000000000004
H2_STORAGE_125,H2_STORAGE,1.25,pv_capacity_kw,光伏装机,kW,6399.8408502238035
H2_STORAGE_125,H2_STORAGE,1.25,battery_power_capacity_kw,电池功率,kW,124.4190979731411
H2_STORAGE_125,H2_STORAGE,1.25,battery_energy_capacity_kwh,电池容量,kWh,261.9349431013445
H2_STORAGE_125,H2_STORAGE,1.25,electrolyzer_power_capacity_kw,电解槽功率,kW,3319.2000000000007
H2_STORAGE_125,H2_STORAGE,1.25,h2_storage_capacity_kg,储氢容量,kg,321.4398191653334
H2_STORAGE_125,H2_STORAGE,1.25,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
H2_STORAGE_125,H2_STORAGE,1.25,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
H2_STORAGE_150,H2_STORAGE,1.5,wind_capacity_kw,风电装机,kW,23007.83023361657
H2_STORAGE_150,H2_STORAGE,1.5,pv_capacity_kw,光伏装机,kW,6444.829171844647
H2_STORAGE_150,H2_STORAGE,1.5,battery_power_capacity_kw,电池功率,kW,133.17519658735364
H2_STORAGE_150,H2_STORAGE,1.5,battery_energy_capacity_kwh,电池容量,kWh,297.3002909120148
H2_STORAGE_150,H2_STORAGE,1.5,electrolyzer_power_capacity_kw,电解槽功率,kW,3303.7585121359516
H2_STORAGE_150,H2_STORAGE,1.5,h2_storage_capacity_kg,储氢容量,kg,316.351458971047
H2_STORAGE_150,H2_STORAGE,1.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
H2_STORAGE_150,H2_STORAGE,1.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
FUEL_CELL_050,FUEL_CELL,0.5,wind_capacity_kw,风电装机,kW,23040.0
FUEL_CELL_050,FUEL_CELL,0.5,pv_capacity_kw,光伏装机,kW,6398.39170379439
FUEL_CELL_050,FUEL_CELL,0.5,battery_power_capacity_kw,电池功率,kW,-0.0
FUEL_CELL_050,FUEL_CELL,0.5,battery_energy_capacity_kwh,电池容量,kWh,-0.0
FUEL_CELL_050,FUEL_CELL,0.5,electrolyzer_power_capacity_kw,电解槽功率,kW,3319.199999999999
FUEL_CELL_050,FUEL_CELL,0.5,h2_storage_capacity_kg,储氢容量,kg,329.2652248237638
FUEL_CELL_050,FUEL_CELL,0.5,fuel_cell_power_capacity_kw,燃料电池功率,kW,124.59299554467361
FUEL_CELL_050,FUEL_CELL,0.5,heat_pump_power_capacity_kw,热泵功率,kW,2925.0
FUEL_CELL_075,FUEL_CELL,0.75,wind_capacity_kw,风电装机,kW,23040.0
FUEL_CELL_075,FUEL_CELL,0.75,pv_capacity_kw,光伏装机,kW,6399.8408502238135
FUEL_CELL_075,FUEL_CELL,0.75,battery_power_capacity_kw,电池功率,kW,124.41909797314221
